"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"01/10/2017","01/07/2017","Actual","ALB",26,12,21,10
"01/10/2017","01/07/2017","Actual","ART",17,-8,15,-8
"01/10/2017","01/07/2017","Actual","BGM",17,8,14,7
"01/10/2017","01/07/2017","Actual","BUF",17,6,15,5
"01/10/2017","01/07/2017","Actual","ELM",22,5,17,4
"01/10/2017","01/07/2017","Actual","HPN",21,19,18,16
"01/10/2017","01/07/2017","Actual","ISP",24,21,22,19
"01/10/2017","01/07/2017","Actual","JFK",27,21,22,19
"01/10/2017","01/07/2017","Actual","LGA",28,22,23,20
"01/10/2017","01/07/2017","Actual","MSS",18,2,15,1
"01/10/2017","01/07/2017","Actual","MSV",19,10,16,9
"01/10/2017","01/07/2017","Actual","PLB",20,6,17,4
"01/10/2017","01/07/2017","Actual","POU",20,13,17,12
"01/10/2017","01/07/2017","Actual","ROC",21,8,18,7
"01/10/2017","01/07/2017","Actual","SWF",19,14,18,13
"01/10/2017","01/07/2017","Actual","SYR",21,9,18,8
"01/10/2017","01/07/2017","Actual","UCA",19,1,17,1
"01/10/2017","01/08/2017","Actual","ALB",27,15,22,12
"01/10/2017","01/08/2017","Actual","ART",15,-12,14,-12
"01/10/2017","01/08/2017","Actual","BGM",15,5,12,4
"01/10/2017","01/08/2017","Actual","BUF",16,11,14,9
"01/10/2017","01/08/2017","Actual","ELM",20,9,16,7
"01/10/2017","01/08/2017","Actual","HPN",22,15,18,12
"01/10/2017","01/08/2017","Actual","ISP",22,16,19,13
"01/10/2017","01/08/2017","Actual","JFK",25,19,20,15
"01/10/2017","01/08/2017","Actual","LGA",27,19,22,16
"01/10/2017","01/08/2017","Actual","MSS",12,1,10,0
"01/10/2017","01/08/2017","Actual","MSV",18,9,16,7
"01/10/2017","01/08/2017","Actual","PLB",13,0,11,-1
"01/10/2017","01/08/2017","Actual","POU",23,7,19,7
"01/10/2017","01/08/2017","Actual","ROC",18,9,16,8
"01/10/2017","01/08/2017","Actual","SWF",21,12,18,10
"01/10/2017","01/08/2017","Actual","SYR",17,9,15,9
"01/10/2017","01/08/2017","Actual","UCA",17,3,16,2
"01/10/2017","01/09/2017","Actual","ALB",21,8,17,6
"01/10/2017","01/09/2017","Actual","ART",21,-17,18,-17
"01/10/2017","01/09/2017","Actual","BGM",16,2,13,1
"01/10/2017","01/09/2017","Actual","BUF",26,14,21,11
"01/10/2017","01/09/2017","Actual","ELM",23,5,18,4
"01/10/2017","01/09/2017","Actual","HPN",20,7,16,6
"01/10/2017","01/09/2017","Actual","ISP",22,6,18,5
"01/10/2017","01/09/2017","Actual","JFK",24,14,20,11
"01/10/2017","01/09/2017","Actual","LGA",24,17,20,14
"01/10/2017","01/09/2017","Actual","MSS",23,-5,19,-6
"01/10/2017","01/09/2017","Actual","MSV",19,3,16,2
"01/10/2017","01/09/2017","Actual","PLB",16,-2,13,-3
"01/10/2017","01/09/2017","Actual","POU",21,0,17,-1
"01/10/2017","01/09/2017","Actual","ROC",26,11,21,9
"01/10/2017","01/09/2017","Actual","SWF",21,9,18,8
"01/10/2017","01/09/2017","Actual","SYR",22,7,18,7
"01/10/2017","01/09/2017","Actual","UCA",20,-2,17,-2
"01/10/2017","01/10/2017","Forecast","ALB",37,16,34,14
"01/10/2017","01/10/2017","Forecast","ART",35,19,32,16
"01/10/2017","01/10/2017","Forecast","BGM",29,10,27,9
"01/10/2017","01/10/2017","Forecast","BUF",43,18,39,15
"01/10/2017","01/10/2017","Forecast","ELM",32,8,29,7
"01/10/2017","01/10/2017","Forecast","HPN",41,15,38,13
"01/10/2017","01/10/2017","Forecast","ISP",42,9,41,8
"01/10/2017","01/10/2017","Forecast","JFK",44,22,41,19
"01/10/2017","01/10/2017","Forecast","LGA",44,23,40,19
"01/10/2017","01/10/2017","Forecast","MSS",34,20,32,17
"01/10/2017","01/10/2017","Forecast","MSV",31,7,28,6
"01/10/2017","01/10/2017","Forecast","PLB",35,11,32,9
"01/10/2017","01/10/2017","Forecast","POU",37,6,35,5
"01/10/2017","01/10/2017","Forecast","ROC",40,19,36,16
"01/10/2017","01/10/2017","Forecast","SWF",38,9,35,8
"01/10/2017","01/10/2017","Forecast","SYR",34,12,31,10
"01/10/2017","01/10/2017","Forecast","UCA",32,8,30,7
"01/10/2017","01/11/2017","Forecast","ALB",45,38,40,35
"01/10/2017","01/11/2017","Forecast","ART",39,35,36,33
"01/10/2017","01/11/2017","Forecast","BGM",40,30,36,28
"01/10/2017","01/11/2017","Forecast","BUF",44,35,41,32
"01/10/2017","01/11/2017","Forecast","ELM",47,33,40,30
"01/10/2017","01/11/2017","Forecast","HPN",46,39,43,38
"01/10/2017","01/11/2017","Forecast","ISP",46,40,43,40
"01/10/2017","01/11/2017","Forecast","JFK",47,44,44,41
"01/10/2017","01/11/2017","Forecast","LGA",48,44,44,40
"01/10/2017","01/11/2017","Forecast","MSS",39,34,36,32
"01/10/2017","01/11/2017","Forecast","MSV",43,32,38,30
"01/10/2017","01/11/2017","Forecast","PLB",42,36,37,33
"01/10/2017","01/11/2017","Forecast","POU",47,36,43,35
"01/10/2017","01/11/2017","Forecast","ROC",44,37,40,33
"01/10/2017","01/11/2017","Forecast","SWF",47,38,42,35
"01/10/2017","01/11/2017","Forecast","SYR",41,35,38,32
"01/10/2017","01/11/2017","Forecast","UCA",39,33,35,31
