"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"01/14/2017 00:05:00","CAPITL",61757,26.02,1.40,0.00
"01/14/2017 00:05:00","CENTRL",61754,25.13,0.52,0.00
"01/14/2017 00:05:00","DUNWOD",61760,26.36,1.75,0.00
"01/14/2017 00:05:00","GENESE",61753,24.81,0.20,0.00
"01/14/2017 00:05:00","H Q",61844,23.95,-0.66,0.00
"01/14/2017 00:05:00","HUD VL",61758,26.41,1.80,0.00
"01/14/2017 00:05:00","LONGIL",61762,26.61,1.99,-0.01
"01/14/2017 00:05:00","MHK VL",61756,25.53,0.91,0.00
"01/14/2017 00:05:00","MILLWD",61759,26.41,1.80,0.00
"01/14/2017 00:05:00","N.Y.C.",61761,26.51,1.90,0.00
"01/14/2017 00:05:00","NORTH",61755,24.20,-0.42,0.00
"01/14/2017 00:05:00","NPX",61845,25.99,1.38,0.00
"01/14/2017 00:05:00","O H",61846,24.17,-0.44,0.00
"01/14/2017 00:05:00","PJM",61847,23.42,0.52,1.72
"01/14/2017 00:05:00","WEST",61752,24.69,0.07,0.00
"01/14/2017 00:10:00","CAPITL",61757,26.18,1.43,0.00
"01/14/2017 00:10:00","CENTRL",61754,25.19,0.45,0.00
"01/14/2017 00:10:00","DUNWOD",61760,26.47,1.73,0.00
"01/14/2017 00:10:00","GENESE",61753,24.89,0.15,0.00
"01/14/2017 00:10:00","H Q",61844,24.10,-0.64,0.00
"01/14/2017 00:10:00","HUD VL",61758,26.55,1.81,0.00
"01/14/2017 00:10:00","LONGIL",61762,26.70,1.95,-0.01
"01/14/2017 00:10:00","MHK VL",61756,25.63,0.89,0.00
"01/14/2017 00:10:00","MILLWD",61759,26.55,1.81,0.00
"01/14/2017 00:10:00","N.Y.C.",61761,26.62,1.88,0.00
"01/14/2017 00:10:00","NORTH",61755,24.32,-0.42,0.00
"01/14/2017 00:10:00","NPX",61845,26.15,1.41,0.00
"01/14/2017 00:10:00","O H",61846,24.20,-0.54,0.00
"01/14/2017 00:10:00","PJM",61847,23.45,0.42,1.72
"01/14/2017 00:10:00","WEST",61752,24.69,-0.05,0.00
"01/14/2017 00:15:00","CAPITL",61757,23.78,1.26,0.00
"01/14/2017 00:15:00","CENTRL",61754,23.01,0.49,0.00
"01/14/2017 00:15:00","DUNWOD",61760,24.00,1.49,0.00
"01/14/2017 00:15:00","GENESE",61753,22.74,0.23,0.00
