"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"01/19/2017 00:05:00","CAPITL",61757,37.20,2.27,0.00
"01/19/2017 00:05:00","CENTRL",61754,35.39,0.45,0.00
"01/19/2017 00:05:00","DUNWOD",61760,37.52,2.58,0.00
"01/19/2017 00:05:00","GENESE",61753,34.83,-0.10,0.00
"01/19/2017 00:05:00","H Q",61844,33.92,-1.01,0.00
"01/19/2017 00:05:00","HUD VL",61758,37.62,2.69,0.00
"01/19/2017 00:05:00","LONGIL",61762,37.90,2.97,0.00
"01/19/2017 00:05:00","MHK VL",61756,35.98,1.05,0.00
"01/19/2017 00:05:00","MILLWD",61759,37.59,2.65,0.00
"01/19/2017 00:05:00","N.Y.C.",61761,37.76,2.83,0.00
"01/19/2017 00:05:00","NORTH",61755,34.02,-0.91,0.00
"01/19/2017 00:05:00","NPX",61845,31.63,2.20,5.50
"01/19/2017 00:05:00","O H",61846,33.95,-0.98,0.00
"01/19/2017 00:05:00","PJM",61847,35.63,0.70,0.00
"01/19/2017 00:05:00","WEST",61752,34.62,-0.32,0.00
"01/19/2017 00:10:00","CAPITL",61757,38.83,2.37,0.00
"01/19/2017 00:10:00","CENTRL",61754,36.90,0.44,0.00
"01/19/2017 00:10:00","DUNWOD",61760,39.16,2.70,0.00
"01/19/2017 00:10:00","GENESE",61753,36.28,-0.18,0.00
"01/19/2017 00:10:00","H Q",61844,35.44,-1.02,0.00
"01/19/2017 00:10:00","HUD VL",61758,39.23,2.77,0.00
"01/19/2017 00:10:00","LONGIL",61762,39.52,3.06,0.00
"01/19/2017 00:10:00","MHK VL",61756,37.55,1.09,0.00
"01/19/2017 00:10:00","MILLWD",61759,39.20,2.74,0.00
"01/19/2017 00:10:00","N.Y.C.",61761,39.41,2.95,0.00
"01/19/2017 00:10:00","NORTH",61755,35.55,-0.91,0.00
"01/19/2017 00:10:00","NPX",61845,33.22,2.26,5.50
"01/19/2017 00:10:00","O H",61846,35.37,-1.09,0.00
"01/19/2017 00:10:00","PJM",61847,37.19,0.73,0.00
"01/19/2017 00:10:00","WEST",61752,36.06,-0.40,0.00
"01/19/2017 00:15:00","CAPITL",61757,32.79,1.94,0.00
"01/19/2017 00:15:00","CENTRL",61754,31.07,0.22,0.00
"01/19/2017 00:15:00","DUNWOD",61760,33.04,2.19,0.00
"01/19/2017 00:15:00","GENESE",61753,30.48,-0.37,0.00
"01/19/2017 00:15:00","H Q",61844,30.08,-0.77,0.00
"01/19/2017 00:15:00","HUD VL",61758,33.13,2.28,0.00
"01/19/2017 00:15:00","LONGIL",61762,33.29,2.44,0.00
"01/19/2017 00:15:00","MHK VL",61756,31.77,0.92,0.00
"01/19/2017 00:15:00","MILLWD",61759,33.10,2.25,0.00
"01/19/2017 00:15:00","N.Y.C.",61761,33.29,2.44,0.00
"01/19/2017 00:15:00","NORTH",61755,30.23,-0.62,0.00
"01/19/2017 00:15:00","NPX",61845,27.17,1.82,5.50
"01/19/2017 00:15:00","O H",61846,29.62,-1.23,0.00
"01/19/2017 00:15:00","PJM",61847,31.25,0.40,0.00
"01/19/2017 00:15:00","WEST",61752,30.17,-0.68,0.00
"01/19/2017 00:20:00","CAPITL",61757,29.52,1.75,0.00
"01/19/2017 00:20:00","CENTRL",61754,27.96,0.20,0.00
"01/19/2017 00:20:00","DUNWOD",61760,29.77,2.00,0.00
"01/19/2017 00:20:00","GENESE",61753,27.40,-0.36,0.00
"01/19/2017 00:20:00","H Q",61844,27.07,-0.69,0.00
"01/19/2017 00:20:00","HUD VL",61758,29.85,2.08,0.00
"01/19/2017 00:20:00","LONGIL",61762,29.99,2.22,0.00
"01/19/2017 00:20:00","MHK VL",61756,28.60,0.83,0.00
"01/19/2017 00:20:00","MILLWD",61759,29.79,2.03,0.00
"01/19/2017 00:20:00","N.Y.C.",61761,30.01,2.25,0.00
"01/19/2017 00:20:00","NORTH",61755,27.18,-0.58,0.00
"01/19/2017 00:20:00","NPX",61845,27.62,1.61,1.76
"01/19/2017 00:20:00","O H",61846,26.63,-1.14,0.00
"01/19/2017 00:20:00","PJM",61847,28.16,0.39,0.00
"01/19/2017 00:20:00","WEST",61752,27.07,-0.69,0.00
"01/19/2017 00:25:00","CAPITL",61757,29.55,1.75,0.00
"01/19/2017 00:25:00","CENTRL",61754,27.93,0.14,0.00
"01/19/2017 00:25:00","DUNWOD",61760,29.80,2.00,0.00
"01/19/2017 00:25:00","GENESE",61753,27.35,-0.45,0.00
"01/19/2017 00:25:00","H Q",61844,27.13,-0.67,0.00
"01/19/2017 00:25:00","HUD VL",61758,29.88,2.09,0.00
"01/19/2017 00:25:00","LONGIL",61762,30.02,2.22,0.00
"01/19/2017 00:25:00","MHK VL",61756,28.60,0.81,0.00
"01/19/2017 00:25:00","MILLWD",61759,29.85,2.06,0.00
"01/19/2017 00:25:00","N.Y.C.",61761,30.04,2.25,0.00
"01/19/2017 00:25:00","NORTH",61755,27.24,-0.56,0.00
"01/19/2017 00:25:00","NPX",61845,27.68,1.64,1.76
"01/19/2017 00:25:00","O H",61846,26.52,-1.28,0.00
"01/19/2017 00:25:00","PJM",61847,28.13,0.33,0.00
"01/19/2017 00:25:00","WEST",61752,26.93,-0.86,0.00
"01/19/2017 00:30:00","CAPITL",61757,30.98,1.89,0.00
"01/19/2017 00:30:00","CENTRL",61754,29.17,0.09,0.00
"01/19/2017 00:30:00","DUNWOD",61760,31.18,2.10,0.00
"01/19/2017 00:30:00","GENESE",61753,28.56,-0.52,0.00
"01/19/2017 00:30:00","H Q",61844,28.39,-0.70,0.00
"01/19/2017 00:30:00","HUD VL",61758,31.27,2.18,0.00
"01/19/2017 00:30:00","LONGIL",61762,31.39,2.30,0.00
"01/19/2017 00:30:00","MHK VL",61756,29.93,0.84,0.00
"01/19/2017 00:30:00","MILLWD",61759,31.24,2.15,0.00
"01/19/2017 00:30:00","N.Y.C.",61761,31.44,2.36,0.00
"01/19/2017 00:30:00","NORTH",61755,28.53,-0.55,0.00
"01/19/2017 00:30:00","NPX",61845,29.10,1.77,1.76
"01/19/2017 00:30:00","O H",61846,27.66,-1.42,0.00
"01/19/2017 00:30:00","PJM",61847,29.35,0.26,0.00
"01/19/2017 00:30:00","WEST",61752,28.10,-0.99,0.00
"01/19/2017 00:35:00","CAPITL",61757,31.67,1.96,0.00
"01/19/2017 00:35:00","CENTRL",61754,29.89,0.18,0.00
"01/19/2017 00:35:00","DUNWOD",61760,31.79,2.08,0.00
"01/19/2017 00:35:00","GENESE",61753,29.27,-0.44,0.00
"01/19/2017 00:35:00","H Q",61844,28.97,-0.74,0.00
"01/19/2017 00:35:00","HUD VL",61758,31.88,2.17,0.00
"01/19/2017 00:35:00","LONGIL",61762,31.97,2.26,0.00
"01/19/2017 00:35:00","MHK VL",61756,30.57,0.86,0.00
"01/19/2017 00:35:00","MILLWD",61759,31.85,2.14,0.00
"01/19/2017 00:35:00","N.Y.C.",61761,32.00,2.29,0.00
"01/19/2017 00:35:00","NORTH",61755,29.12,-0.59,0.00
"01/19/2017 00:35:00","NPX",61845,31.52,1.81,0.00
"01/19/2017 00:35:00","O H",61846,28.44,-1.28,0.00
"01/19/2017 00:35:00","PJM",61847,30.07,0.36,0.00
"01/19/2017 00:35:00","WEST",61752,28.88,-0.83,0.00
