"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"01/10/2017 00:05:00","CAPITL",61757,77.88,2.48,-45.21
"01/10/2017 00:05:00","CENTRL",61754,34.83,0.00,-4.64
"01/10/2017 00:05:00","DUNWOD",61760,64.83,2.87,-31.76
"01/10/2017 00:05:00","GENESE",61753,32.79,-1.03,-3.62
"01/10/2017 00:05:00","H Q",61844,0.00,-0.79,29.41
"01/10/2017 00:05:00","HUD VL",61758,64.52,2.84,-31.49
"01/10/2017 00:05:00","LONGIL",61762,66.04,4.07,-31.77
"01/10/2017 00:05:00","MHK VL",61756,36.26,1.15,-4.92
"01/10/2017 00:05:00","MILLWD",61759,65.39,2.99,-32.20
"01/10/2017 00:05:00","N.Y.C.",61761,65.03,3.08,-31.76
"01/10/2017 00:05:00","NORTH",61755,29.02,-1.18,0.00
"01/10/2017 00:05:00","NPX",61845,86.36,2.48,-53.69
"01/10/2017 00:05:00","O H",61846,33.07,-2.08,-4.96
"01/10/2017 00:05:00","PJM",61847,48.31,0.39,-17.72
"01/10/2017 00:05:00","WEST",61752,33.38,-1.60,-4.79
"01/10/2017 00:10:00","CAPITL",61757,80.07,2.11,-51.95
"01/10/2017 00:10:00","CENTRL",61754,31.35,0.00,-5.33
"01/10/2017 00:10:00","DUNWOD",61760,64.99,2.47,-36.50
"01/10/2017 00:10:00","GENESE",61753,29.34,-0.83,-4.16
"01/10/2017 00:10:00","H Q",61844,0.00,-0.68,25.34
"01/10/2017 00:10:00","HUD VL",61758,64.62,2.42,-36.18
"01/10/2017 00:10:00","LONGIL",61762,66.02,3.49,-36.51
"01/10/2017 00:10:00","MHK VL",61756,32.64,0.96,-5.65
"01/10/2017 00:10:00","MILLWD",61759,65.60,2.58,-37.00
"01/10/2017 00:10:00","N.Y.C.",61761,65.14,2.63,-36.49
"01/10/2017 00:10:00","NORTH",61755,25.00,-1.02,0.00
"01/10/2017 00:10:00","NPX",61845,87.64,2.08,-59.54
"01/10/2017 00:10:00","O H",61846,29.95,-1.77,-5.70
"01/10/2017 00:10:00","PJM",61847,46.66,0.34,-20.30
"01/10/2017 00:10:00","WEST",61752,30.17,-1.35,-5.50
"01/10/2017 00:15:00","CAPITL",61757,208.63,0.84,-197.48
"01/10/2017 00:15:00","CENTRL",61754,30.51,-0.03,-20.22
"01/10/2017 00:15:00","DUNWOD",61760,150.01,0.95,-138.74
"01/10/2017 00:15:00","GENESE",61753,25.76,-0.38,-15.82
"01/10/2017 00:15:00","H Q",61844,0.00,-0.27,10.05
"01/10/2017 00:15:00","HUD VL",61758,148.85,0.94,-137.59
"01/10/2017 00:15:00","LONGIL",61762,150.41,1.34,-138.74
"01/10/2017 00:15:00","MHK VL",61756,32.68,0.38,-21.98
"01/10/2017 00:15:00","MILLWD",61759,151.99,0.99,-140.68
"01/10/2017 00:15:00","N.Y.C.",61761,150.05,1.01,-138.71
"01/10/2017 00:15:00","NORTH",61755,9.94,-0.38,0.00
"01/10/2017 00:15:00","NPX",61845,197.04,0.83,-185.89
"01/10/2017 00:15:00","O H",61846,31.21,-0.78,-21.68
"01/10/2017 00:15:00","PJM",61847,86.40,0.07,-76.01
"01/10/2017 00:15:00","WEST",61752,30.60,-0.63,-20.91
"01/10/2017 00:20:00","CAPITL",61757,861.68,-2.48,-895.19
"01/10/2017 00:20:00","CENTRL",61754,60.90,0.25,-91.68
"01/10/2017 00:20:00","DUNWOD",61760,595.26,-2.64,-628.92
"01/10/2017 00:20:00","GENESE",61753,42.10,1.40,-71.73
"01/10/2017 00:20:00","H Q",61844,-30.34,0.68,0.00
"01/10/2017 00:20:00","HUD VL",61758,590.05,-2.64,-623.71
"01/10/2017 00:20:00","LONGIL",61762,594.45,-3.44,-628.92
"01/10/2017 00:20:00","MHK VL",61756,67.49,-1.12,-99.63
"01/10/2017 00:20:00","MILLWD",61759,603.93,-2.76,-637.71
"01/10/2017 00:20:00","N.Y.C.",61761,621.55,-2.79,-655.36
"01/10/2017 00:20:00","NORTH",61755,-30.28,0.74,0.00
"01/10/2017 00:20:00","NPX",61845,746.25,-2.42,-779.69
"01/10/2017 00:20:00","O H",61846,70.00,2.76,-98.26
"01/10/2017 00:20:00","PJM",61847,313.00,0.09,-343.93
"01/10/2017 00:20:00","WEST",61752,66.17,2.39,-94.80
"01/10/2017 00:25:00","CAPITL",61757,692.71,-2.17,-721.97
"01/10/2017 00:25:00","CENTRL",61754,46.99,0.13,-73.94
"01/10/2017 00:25:00","DUNWOD",61760,477.84,-2.30,-507.22
"01/10/2017 00:25:00","GENESE",61753,31.87,1.11,-57.85
"01/10/2017 00:25:00","H Q",61844,-26.43,0.65,0.00
"01/10/2017 00:25:00","HUD VL",61758,473.61,-2.33,-503.02
"01/10/2017 00:25:00","LONGIL",61762,477.07,-3.06,-507.21
"01/10/2017 00:25:00","MHK VL",61756,52.25,-1.00,-80.34
"01/10/2017 00:25:00","MILLWD",61759,484.79,-2.44,-514.31
"01/10/2017 00:25:00","N.Y.C.",61761,477.60,-2.44,-507.12
"01/10/2017 00:25:00","NORTH",61755,-26.33,0.76,0.00
"01/10/2017 00:25:00","NPX",61845,600.10,-2.11,-629.30
"01/10/2017 00:25:00","O H",61846,54.41,2.25,-79.24
"01/10/2017 00:25:00","PJM",61847,250.52,-0.03,-277.63
"01/10/2017 00:25:00","WEST",61752,51.27,1.90,-76.46
"01/10/2017 00:30:00","CAPITL",61757,246.52,0.46,-240.47
"01/10/2017 00:30:00","CENTRL",61754,30.23,0.01,-24.63
"01/10/2017 00:30:00","DUNWOD",61760,175.04,0.50,-168.94
"01/10/2017 00:30:00","GENESE",61753,24.67,-0.19,-19.27
