"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"01/02/2017 00:05:00","CAPITL",61757,27.85,1.70,0.00
"01/02/2017 00:05:00","CENTRL",61754,26.39,0.23,0.00
"01/02/2017 00:05:00","DUNWOD",61760,28.40,2.25,0.00
"01/02/2017 00:05:00","GENESE",61753,25.39,-0.76,0.00
"01/02/2017 00:05:00","H Q",61844,25.39,-0.76,0.00
"01/02/2017 00:05:00","HUD VL",61758,28.37,2.22,0.00
"01/02/2017 00:05:00","LONGIL",61762,29.11,2.95,0.00
"01/02/2017 00:05:00","MHK VL",61756,27.04,0.89,0.00
"01/02/2017 00:05:00","MILLWD",61759,28.48,2.33,0.00
"01/02/2017 00:05:00","N.Y.C.",61761,28.51,2.35,0.00
"01/02/2017 00:05:00","NORTH",61755,25.29,-0.86,0.00
"01/02/2017 00:05:00","NPX",61845,28.04,1.88,0.00
"01/02/2017 00:05:00","O H",61846,24.53,-1.62,0.00
"01/02/2017 00:05:00","PJM",61847,26.73,0.57,0.00
"01/02/2017 00:05:00","WEST",61752,24.84,-1.31,0.00
"01/02/2017 00:10:00","CAPITL",61757,28.66,1.75,0.00
"01/02/2017 00:10:00","CENTRL",61754,27.15,0.24,0.00
"01/02/2017 00:10:00","DUNWOD",61760,29.17,2.26,0.00
"01/02/2017 00:10:00","GENESE",61753,26.16,-0.75,0.00
"01/02/2017 00:10:00","H Q",61844,26.13,-0.78,0.00
"01/02/2017 00:10:00","HUD VL",61758,29.17,2.26,0.00
"01/02/2017 00:10:00","LONGIL",61762,29.90,2.99,0.00
"01/02/2017 00:10:00","MHK VL",61756,27.83,0.92,0.00
"01/02/2017 00:10:00","MILLWD",61759,29.25,2.34,0.00
"01/02/2017 00:10:00","N.Y.C.",61761,29.28,2.37,0.00
"01/02/2017 00:10:00","NORTH",61755,26.03,-0.89,0.00
"01/02/2017 00:10:00","NPX",61845,28.85,1.94,0.00
"01/02/2017 00:10:00","O H",61846,25.32,-1.59,0.00
"01/02/2017 00:10:00","PJM",61847,27.53,0.62,0.00
"01/02/2017 00:10:00","WEST",61752,25.62,-1.29,0.00
"01/02/2017 00:15:00","CAPITL",61757,28.25,1.77,0.00
"01/02/2017 00:15:00","CENTRL",61754,26.61,0.13,0.00
"01/02/2017 00:15:00","DUNWOD",61760,28.76,2.28,0.00
"01/02/2017 00:15:00","GENESE",61753,25.58,-0.90,0.00
"01/02/2017 00:15:00","H Q",61844,25.74,-0.74,0.00
"01/02/2017 00:15:00","HUD VL",61758,28.76,2.28,0.00
"01/02/2017 00:15:00","LONGIL",61762,29.47,2.99,0.00
"01/02/2017 00:15:00","MHK VL",61756,27.38,0.90,0.00
"01/02/2017 00:15:00","MILLWD",61759,28.84,2.36,0.00
"01/02/2017 00:15:00","N.Y.C.",61761,28.86,2.38,0.00
"01/02/2017 00:15:00","NORTH",61755,25.61,-0.87,0.00
"01/02/2017 00:15:00","NPX",61845,28.44,1.96,0.00
"01/02/2017 00:15:00","O H",61846,24.63,-1.85,0.00
"01/02/2017 00:15:00","PJM",61847,26.93,0.45,0.00
"01/02/2017 00:15:00","WEST",61752,24.94,-1.54,0.00
"01/02/2017 00:20:00","CAPITL",61757,24.67,1.57,0.00
"01/02/2017 00:20:00","CENTRL",61754,23.19,0.09,0.00
"01/02/2017 00:20:00","DUNWOD",61760,25.06,1.96,0.00
"01/02/2017 00:20:00","GENESE",61753,22.32,-0.79,0.00
"01/02/2017 00:20:00","H Q",61844,22.46,-0.65,0.00
"01/02/2017 00:20:00","HUD VL",61758,25.04,1.94,0.00
"01/02/2017 00:20:00","LONGIL",61762,25.69,2.59,0.00
"01/02/2017 00:20:00","MHK VL",61756,23.86,0.76,0.00
"01/02/2017 00:20:00","MILLWD",61759,25.14,2.03,0.00
"01/02/2017 00:20:00","N.Y.C.",61761,25.16,2.06,0.00
"01/02/2017 00:20:00","NORTH",61755,22.36,-0.74,0.00
"01/02/2017 00:20:00","NPX",61845,24.76,1.71,0.05
"01/02/2017 00:20:00","O H",61846,21.48,-1.62,0.00
"01/02/2017 00:20:00","PJM",61847,23.47,0.37,0.00
"01/02/2017 00:20:00","WEST",61752,21.76,-1.34,0.00
"01/02/2017 00:25:00","CAPITL",61757,26.64,1.70,0.00
"01/02/2017 00:25:00","CENTRL",61754,25.09,0.15,0.00
"01/02/2017 00:25:00","DUNWOD",61760,27.06,2.12,0.00
"01/02/2017 00:25:00","GENESE",61753,24.09,-0.85,0.00
"01/02/2017 00:25:00","H Q",61844,24.24,-0.70,0.00
"01/02/2017 00:25:00","HUD VL",61758,27.03,2.10,0.00
"01/02/2017 00:25:00","LONGIL",61762,27.74,2.79,-0.01
"01/02/2017 00:25:00","MHK VL",61756,25.76,0.82,0.00
"01/02/2017 00:25:00","MILLWD",61759,27.11,2.17,0.00
"01/02/2017 00:25:00","N.Y.C.",61761,27.13,2.20,0.00
"01/02/2017 00:25:00","NORTH",61755,24.12,-0.82,0.00
"01/02/2017 00:25:00","NPX",61845,26.73,1.85,0.05
"01/02/2017 00:25:00","O H",61846,23.24,-1.70,0.00
"01/02/2017 00:25:00","PJM",61847,25.41,0.47,0.00
"01/02/2017 00:25:00","WEST",61752,23.52,-1.42,0.00
"01/02/2017 00:30:00","CAPITL",61757,28.94,1.87,0.00
"01/02/2017 00:30:00","CENTRL",61754,27.26,0.19,0.00
"01/02/2017 00:30:00","DUNWOD",61760,29.35,2.27,0.00
"01/02/2017 00:30:00","GENESE",61753,26.15,-0.92,0.00
"01/02/2017 00:30:00","H Q",61844,26.31,-0.76,0.00
"01/02/2017 00:30:00","HUD VL",61758,29.35,2.27,0.00
"01/02/2017 00:30:00","LONGIL",61762,30.14,3.06,-0.01
"01/02/2017 00:30:00","MHK VL",61756,27.99,0.92,0.00
"01/02/2017 00:30:00","MILLWD",61759,29.43,2.35,0.00
"01/02/2017 00:30:00","N.Y.C.",61761,29.43,2.35,0.00
"01/02/2017 00:30:00","NORTH",61755,26.18,-0.89,0.00
"01/02/2017 00:30:00","NPX",61845,29.05,2.03,0.05
"01/02/2017 00:30:00","O H",61846,25.23,-1.84,0.00
"01/02/2017 00:30:00","PJM",61847,27.64,0.57,0.00
"01/02/2017 00:30:00","WEST",61752,25.50,-1.57,0.00
"01/02/2017 00:35:00","CAPITL",61757,33.15,1.54,-9.33
"01/02/2017 00:35:00","CENTRL",61754,23.37,0.13,-0.96
"01/02/2017 00:35:00","DUNWOD",61760,30.54,1.80,-6.45
"01/02/2017 00:35:00","GENESE",61753,22.20,-0.82,-0.74
"01/02/2017 00:35:00","H Q",61844,21.66,-0.62,0.00
"01/02/2017 00:35:00","HUD VL",61758,30.60,1.83,-6.49
"01/02/2017 00:35:00","LONGIL",61762,31.21,2.47,-6.46
"01/02/2017 00:35:00","MHK VL",61756,24.08,0.73,-1.07
"01/02/2017 00:35:00","MILLWD",61759,30.73,1.87,-6.57
"01/02/2017 00:35:00","N.Y.C.",61761,30.60,1.87,-6.45
"01/02/2017 00:35:00","NORTH",61755,21.57,-0.71,0.00
"01/02/2017 00:35:00","NPX",61845,34.29,1.69,-10.32
"01/02/2017 00:35:00","O H",61846,21.72,-1.58,-1.02
"01/02/2017 00:35:00","PJM",61847,26.23,0.40,-3.55
"01/02/2017 00:35:00","WEST",61752,21.88,-1.36,-0.96
"01/02/2017 00:40:00","CAPITL",61757,32.19,1.52,-8.30
"01/02/2017 00:40:00","CENTRL",61754,23.33,0.11,-0.85
"01/02/2017 00:40:00","DUNWOD",61760,29.92,1.81,-5.74
"01/02/2017 00:40:00","GENESE",61753,22.20,-0.83,-0.66
"01/02/2017 00:40:00","H Q",61844,21.77,-0.60,0.00
"01/02/2017 00:40:00","HUD VL",61758,29.98,1.83,-5.78
"01/02/2017 00:40:00","LONGIL",61762,30.59,2.48,-5.74
"01/02/2017 00:40:00","MHK VL",61756,24.05,0.74,-0.95
"01/02/2017 00:40:00","MILLWD",61759,30.09,1.88,-5.85
"01/02/2017 00:40:00","N.Y.C.",61761,30.00,1.90,-5.74
"01/02/2017 00:40:00","NORTH",61755,21.68,-0.69,0.00
"01/02/2017 00:40:00","NPX",61845,33.47,1.68,-9.42
"01/02/2017 00:40:00","O H",61846,21.69,-1.59,-0.91
"01/02/2017 00:40:00","PJM",61847,25.90,0.38,-3.16
"01/02/2017 00:40:00","WEST",61752,21.86,-1.37,-0.85
"01/02/2017 00:45:00","CAPITL",61757,33.13,1.49,-9.48
"01/02/2017 00:45:00","CENTRL",61754,23.25,0.11,-0.97
"01/02/2017 00:45:00","DUNWOD",61760,30.54,1.82,-6.55
"01/02/2017 00:45:00","GENESE",61753,22.12,-0.80,-0.75
"01/02/2017 00:45:00","H Q",61844,21.57,-0.60,0.00
"01/02/2017 00:45:00","HUD VL",61758,30.58,1.82,-6.59
"01/02/2017 00:45:00","LONGIL",61762,31.19,2.46,-6.56
"01/02/2017 00:45:00","MHK VL",61756,23.98,0.73,-1.08
"01/02/2017 00:45:00","MILLWD",61759,30.73,1.88,-6.68
"01/02/2017 00:45:00","N.Y.C.",61761,30.60,1.88,-6.55
"01/02/2017 00:45:00","NORTH",61755,21.51,-0.66,0.00
"01/02/2017 00:45:00","NPX",61845,34.26,1.64,-10.45
"01/02/2017 00:45:00","O H",61846,21.65,-1.55,-1.04
"01/02/2017 00:45:00","PJM",61847,26.13,0.35,-3.60
"01/02/2017 00:45:00","WEST",61752,21.84,-1.31,-0.97
"01/02/2017 00:50:00","CAPITL",61757,24.54,1.54,0.00
"01/02/2017 00:50:00","CENTRL",61754,23.16,0.16,0.00
"01/02/2017 00:50:00","DUNWOD",61760,24.91,1.91,0.00
"01/02/2017 00:50:00","GENESE",61753,22.29,-0.71,0.00
"01/02/2017 00:50:00","H Q",61844,22.36,-0.64,0.00
"01/02/2017 00:50:00","HUD VL",61758,24.91,1.91,0.00
"01/02/2017 00:50:00","LONGIL",61762,25.56,2.55,-0.01
"01/02/2017 00:50:00","MHK VL",61756,23.78,0.78,0.00
"01/02/2017 00:50:00","MILLWD",61759,24.98,1.98,0.00
"01/02/2017 00:50:00","N.Y.C.",61761,25.00,2.00,0.00
"01/02/2017 00:50:00","NORTH",61755,22.26,-0.74,0.00
"01/02/2017 00:50:00","NPX",61845,29.84,1.68,-5.16
"01/02/2017 00:50:00","O H",61846,21.53,-1.47,0.00
"01/02/2017 00:50:00","PJM",61847,23.44,0.44,0.00
"01/02/2017 00:50:00","WEST",61752,21.80,-1.20,0.00
"01/02/2017 00:55:00","CAPITL",61757,24.76,1.55,0.00
"01/02/2017 00:55:00","CENTRL",61754,23.30,0.09,0.00
"01/02/2017 00:55:00","DUNWOD",61760,25.13,1.92,0.00
"01/02/2017 00:55:00","GENESE",61753,22.35,-0.86,0.00
"01/02/2017 00:55:00","H Q",61844,22.58,-0.63,0.00
"01/02/2017 00:55:00","HUD VL",61758,25.13,1.92,0.00
"01/02/2017 00:55:00","LONGIL",61762,25.76,2.55,-0.01
"01/02/2017 00:55:00","MHK VL",61756,23.97,0.76,0.00
"01/02/2017 00:55:00","MILLWD",61759,25.18,1.97,0.00
"01/02/2017 00:55:00","N.Y.C.",61761,25.22,2.02,0.00
"01/02/2017 00:55:00","NORTH",61755,22.51,-0.70,0.00
"01/02/2017 00:55:00","NPX",61845,30.06,1.69,-5.16
"01/02/2017 00:55:00","O H",61846,21.56,-1.65,0.00
"01/02/2017 00:55:00","PJM",61847,23.58,0.37,0.00
