"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"01/28/2017 00:05:00","CAPITL",61757,32.90,1.89,0.00
"01/28/2017 00:05:00","CENTRL",61754,31.07,0.06,0.00
"01/28/2017 00:05:00","DUNWOD",61760,33.46,2.45,0.00
"01/28/2017 00:05:00","GENESE",61753,29.83,-1.18,0.00
"01/28/2017 00:05:00","H Q",61844,30.20,-0.81,0.00
"01/28/2017 00:05:00","HUD VL",61758,33.55,2.54,0.00
"01/28/2017 00:05:00","LONGIL",61762,34.45,3.44,0.00
"01/28/2017 00:05:00","MHK VL",61756,31.85,0.84,0.00
"01/28/2017 00:05:00","MILLWD",61759,33.52,2.51,0.00
"01/28/2017 00:05:00","N.Y.C.",61761,33.55,2.54,0.00
"01/28/2017 00:05:00","NORTH",61755,29.80,-1.21,0.00
"01/28/2017 00:05:00","NPX",61845,32.97,1.95,0.00
"01/28/2017 00:05:00","O H",61846,28.65,-2.36,0.00
"01/28/2017 00:05:00","PJM",61847,31.26,0.25,0.00
"01/28/2017 00:05:00","WEST",61752,28.96,-2.05,0.00
"01/28/2017 00:10:00","CAPITL",61757,28.52,1.64,0.00
"01/28/2017 00:10:00","CENTRL",61754,26.93,0.05,0.00
"01/28/2017 00:10:00","DUNWOD",61760,29.03,2.15,0.00
"01/28/2017 00:10:00","GENESE",61753,25.83,-1.05,0.00
"01/28/2017 00:10:00","H Q",61844,26.15,-0.72,0.00
"01/28/2017 00:10:00","HUD VL",61758,29.14,2.26,0.00
"01/28/2017 00:10:00","LONGIL",61762,29.87,2.98,-0.01
"01/28/2017 00:10:00","MHK VL",61756,27.63,0.75,0.00
"01/28/2017 00:10:00","MILLWD",61759,29.08,2.20,0.00
"01/28/2017 00:10:00","N.Y.C.",61761,29.16,2.28,0.00
"01/28/2017 00:10:00","NORTH",61755,25.75,-1.13,0.00
"01/28/2017 00:10:00","NPX",61845,28.62,1.75,0.00
"01/28/2017 00:10:00","O H",61846,24.78,-2.10,0.00
"01/28/2017 00:10:00","PJM",61847,27.12,0.24,0.00
"01/28/2017 00:10:00","WEST",61752,25.05,-1.83,0.00
