"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"01/31/2017","01/28/2017","Actual","ALB",37,31,30,26
"01/31/2017","01/28/2017","Actual","ART",34,30,31,29
"01/31/2017","01/28/2017","Actual","BGM",27,24,25,23
"01/31/2017","01/28/2017","Actual","BUF",30,28,29,26
"01/31/2017","01/28/2017","Actual","ELM",32,30,28,26
"01/31/2017","01/28/2017","Actual","HPN",37,33,31,28
"01/31/2017","01/28/2017","Actual","ISP",40,31,33,28
"01/31/2017","01/28/2017","Actual","JFK",39,34,33,29
"01/31/2017","01/28/2017","Actual","LGA",40,37,33,31
"01/31/2017","01/28/2017","Actual","MSS",35,27,31,25
"01/31/2017","01/28/2017","Actual","MSV",30,28,27,25
"01/31/2017","01/28/2017","Actual","PLB",35,24,31,21
"01/31/2017","01/28/2017","Actual","POU",35,32,30,28
"01/31/2017","01/28/2017","Actual","ROC",32,30,29,27
"01/31/2017","01/28/2017","Actual","SWF",36,30,31,28
"01/31/2017","01/28/2017","Actual","SYR",34,29,30,27
"01/31/2017","01/28/2017","Actual","UCA",33,29,29,27
"01/31/2017","01/29/2017","Actual","ALB",39,29,31,24
"01/31/2017","01/29/2017","Actual","ART",32,21,31,19
"01/31/2017","01/29/2017","Actual","BGM",27,19,25,18
"01/31/2017","01/29/2017","Actual","BUF",30,21,28,19
"01/31/2017","01/29/2017","Actual","ELM",34,19,28,17
"01/31/2017","01/29/2017","Actual","HPN",41,33,32,28
"01/31/2017","01/29/2017","Actual","ISP",44,26,36,25
"01/31/2017","01/29/2017","Actual","JFK",45,32,34,30
"01/31/2017","01/29/2017","Actual","LGA",44,38,34,32
"01/31/2017","01/29/2017","Actual","MSS",31,20,30,18
"01/31/2017","01/29/2017","Actual","MSV",34,27,27,24
"01/31/2017","01/29/2017","Actual","PLB",34,23,29,21
"01/31/2017","01/29/2017","Actual","POU",40,30,32,27
"01/31/2017","01/29/2017","Actual","ROC",31,25,28,22
"01/31/2017","01/29/2017","Actual","SWF",37,30,32,27
"01/31/2017","01/29/2017","Actual","SYR",32,24,28,22
"01/31/2017","01/29/2017","Actual","UCA",32,24,28,23
"01/31/2017","01/30/2017","Actual","ALB",30,18,24,16
"01/31/2017","01/30/2017","Actual","ART",21,3,19,3
"01/31/2017","01/30/2017","Actual","BGM",22,11,19,10
"01/31/2017","01/30/2017","Actual","BUF",22,16,20,15
"01/31/2017","01/30/2017","Actual","ELM",29,13,23,12
"01/31/2017","01/30/2017","Actual","HPN",34,26,27,22
"01/31/2017","01/30/2017","Actual","ISP",36,25,29,23
"01/31/2017","01/30/2017","Actual","JFK",38,32,30,25
"01/31/2017","01/30/2017","Actual","LGA",38,33,31,26
"01/31/2017","01/30/2017","Actual","MSS",18,-1,17,-2
"01/31/2017","01/30/2017","Actual","MSV",27,16,23,14
"01/31/2017","01/30/2017","Actual","PLB",23,9,21,8
"01/31/2017","01/30/2017","Actual","POU",35,24,28,20
"01/31/2017","01/30/2017","Actual","ROC",24,16,23,14
"01/31/2017","01/30/2017","Actual","SWF",34,21,28,19
"01/31/2017","01/30/2017","Actual","SYR",23,17,21,16
"01/31/2017","01/30/2017","Actual","UCA",24,15,22,14
"01/31/2017","01/31/2017","Forecast","ALB",29,14,25,13
"01/31/2017","01/31/2017","Forecast","ART",27,1,25,1
"01/31/2017","01/31/2017","Forecast","BGM",28,11,27,11
"01/31/2017","01/31/2017","Forecast","BUF",31,20,29,17
"01/31/2017","01/31/2017","Forecast","ELM",32,12,30,11
"01/31/2017","01/31/2017","Forecast","HPN",33,22,31,19
"01/31/2017","01/31/2017","Forecast","ISP",35,23,33,20
"01/31/2017","01/31/2017","Forecast","JFK",37,26,34,21
"01/31/2017","01/31/2017","Forecast","LGA",38,29,34,24
"01/31/2017","01/31/2017","Forecast","MSS",21,-5,18,-6
"01/31/2017","01/31/2017","Forecast","MSV",27,12,26,11
"01/31/2017","01/31/2017","Forecast","PLB",24,5,21,4
"01/31/2017","01/31/2017","Forecast","POU",30,18,28,16
"01/31/2017","01/31/2017","Forecast","ROC",32,16,29,15
"01/31/2017","01/31/2017","Forecast","SWF",30,19,29,17
"01/31/2017","01/31/2017","Forecast","SYR",29,13,26,12
"01/31/2017","01/31/2017","Forecast","UCA",27,8,24,7
"01/31/2017","02/01/2017","Forecast","ALB",38,27,33,25
"01/31/2017","02/01/2017","Forecast","ART",30,22,28,22
"01/31/2017","02/01/2017","Forecast","BGM",31,23,28,22
"01/31/2017","02/01/2017","Forecast","BUF",31,27,29,25
"01/31/2017","02/01/2017","Forecast","ELM",37,26,32,24
"01/31/2017","02/01/2017","Forecast","HPN",41,33,35,30
"01/31/2017","02/01/2017","Forecast","ISP",42,34,37,32
"01/31/2017","02/01/2017","Forecast","JFK",44,37,38,33
"01/31/2017","02/01/2017","Forecast","LGA",45,37,38,33
"01/31/2017","02/01/2017","Forecast","MSS",26,15,23,14
"01/31/2017","02/01/2017","Forecast","MSV",34,26,30,24
"01/31/2017","02/01/2017","Forecast","PLB",30,18,27,16
"01/31/2017","02/01/2017","Forecast","POU",40,29,34,28
"01/31/2017","02/01/2017","Forecast","ROC",34,28,30,26
"01/31/2017","02/01/2017","Forecast","SWF",40,30,34,28
"01/31/2017","02/01/2017","Forecast","SYR",33,27,30,26
"01/31/2017","02/01/2017","Forecast","UCA",31,25,28,24
