"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"01/06/2017 00:05:00","CAPITL",61757,29.51,1.93,0.00
"01/06/2017 00:05:00","CENTRL",61754,27.72,0.14,0.00
"01/06/2017 00:05:00","DUNWOD",61760,30.06,2.48,0.00
"01/06/2017 00:05:00","GENESE",61753,26.97,-0.61,0.00
"01/06/2017 00:05:00","H Q",61844,26.84,-0.74,0.00
"01/06/2017 00:05:00","HUD VL",61758,29.95,2.37,0.00
"01/06/2017 00:05:00","LONGIL",61762,30.81,3.23,0.00
"01/06/2017 00:05:00","MHK VL",61756,28.63,1.05,0.00
"01/06/2017 00:05:00","MILLWD",61759,30.12,2.54,0.00
"01/06/2017 00:05:00","N.Y.C.",61761,30.20,2.62,0.00
"01/06/2017 00:05:00","NORTH",61755,26.89,-0.69,0.00
"01/06/2017 00:05:00","NPX",61845,22.03,2.15,7.70
"01/06/2017 00:05:00","O H",61846,25.84,-1.74,0.00
"01/06/2017 00:05:00","PJM",61847,25.43,0.25,2.39
"01/06/2017 00:05:00","WEST",61752,26.34,-1.24,0.00
"01/06/2017 00:10:00","CAPITL",61757,27.76,1.82,0.00
"01/06/2017 00:10:00","CENTRL",61754,26.10,0.16,0.00
"01/06/2017 00:10:00","DUNWOD",61760,28.23,2.28,0.00
"01/06/2017 00:10:00","GENESE",61753,25.40,-0.55,0.00
"01/06/2017 00:10:00","H Q",61844,25.25,-0.70,0.00
"01/06/2017 00:10:00","HUD VL",61758,28.18,2.23,0.00
"01/06/2017 00:10:00","LONGIL",61762,28.98,3.03,0.00
"01/06/2017 00:10:00","MHK VL",61756,26.93,0.99,0.00
"01/06/2017 00:10:00","MILLWD",61759,28.31,2.36,0.00
"01/06/2017 00:10:00","N.Y.C.",61761,28.36,2.41,0.00
"01/06/2017 00:10:00","NORTH",61755,25.25,-0.70,0.00
"01/06/2017 00:10:00","NPX",61845,20.24,2.00,7.70
"01/06/2017 00:10:00","O H",61846,24.39,-1.56,0.00
"01/06/2017 00:10:00","PJM",61847,23.86,0.31,2.39
"01/06/2017 00:10:00","WEST",61752,24.86,-1.09,0.00
"01/06/2017 00:15:00","CAPITL",61757,29.73,1.94,0.00
"01/06/2017 00:15:00","CENTRL",61754,27.84,0.06,0.00
"01/06/2017 00:15:00","DUNWOD",61760,30.20,2.42,0.00
"01/06/2017 00:15:00","GENESE",61753,27.01,-0.78,0.00
"01/06/2017 00:15:00","H Q",61844,27.09,-0.69,0.00
"01/06/2017 00:15:00","HUD VL",61758,30.12,2.33,0.00
"01/06/2017 00:15:00","LONGIL",61762,31.06,3.28,0.00
"01/06/2017 00:15:00","MHK VL",61756,28.82,1.03,0.00
"01/06/2017 00:15:00","MILLWD",61759,30.26,2.47,0.00
"01/06/2017 00:15:00","N.Y.C.",61761,30.34,2.55,0.00
"01/06/2017 00:15:00","NORTH",61755,27.15,-0.64,0.00
"01/06/2017 00:15:00","NPX",61845,22.26,2.17,7.70
"01/06/2017 00:15:00","O H",61846,25.84,-1.95,0.00
"01/06/2017 00:15:00","PJM",61847,25.56,0.17,2.39
"01/06/2017 00:15:00","WEST",61752,26.29,-1.50,0.00
"01/06/2017 00:20:00","CAPITL",61757,27.67,1.81,0.00
"01/06/2017 00:20:00","CENTRL",61754,26.02,0.16,0.00
"01/06/2017 00:20:00","DUNWOD",61760,28.06,2.20,0.00
"01/06/2017 00:20:00","GENESE",61753,25.35,-0.52,0.00
"01/06/2017 00:20:00","H Q",61844,25.19,-0.67,0.00
"01/06/2017 00:20:00","HUD VL",61758,28.01,2.15,0.00
"01/06/2017 00:20:00","LONGIL",61762,28.89,3.02,0.00
"01/06/2017 00:20:00","MHK VL",61756,26.84,0.98,0.00
"01/06/2017 00:20:00","MILLWD",61759,28.11,2.25,0.00
"01/06/2017 00:20:00","N.Y.C.",61761,28.16,2.30,0.00
"01/06/2017 00:20:00","NORTH",61755,25.22,-0.65,0.00
"01/06/2017 00:20:00","NPX",61845,27.85,1.99,0.00
"01/06/2017 00:20:00","O H",61846,24.34,-1.53,0.00
"01/06/2017 00:20:00","PJM",61847,26.09,0.23,0.00
"01/06/2017 00:20:00","WEST",61752,24.80,-1.06,0.00
"01/06/2017 00:25:00","CAPITL",61757,26.90,1.78,0.00
"01/06/2017 00:25:00","CENTRL",61754,25.27,0.15,0.00
"01/06/2017 00:25:00","DUNWOD",61760,27.25,2.13,0.00
"01/06/2017 00:25:00","GENESE",61753,24.67,-0.45,0.00
"01/06/2017 00:25:00","H Q",61844,24.44,-0.68,0.00
"01/06/2017 00:25:00","HUD VL",61758,27.20,2.08,0.00
"01/06/2017 00:25:00","LONGIL",61762,28.03,2.91,0.00
"01/06/2017 00:25:00","MHK VL",61756,26.07,0.95,0.00
"01/06/2017 00:25:00","MILLWD",61759,27.33,2.21,0.00
"01/06/2017 00:25:00","N.Y.C.",61761,27.38,2.26,0.00
"01/06/2017 00:25:00","NORTH",61755,24.44,-0.68,0.00
"01/06/2017 00:25:00","NPX",61845,27.08,1.96,0.00
"01/06/2017 00:25:00","O H",61846,23.71,-1.41,0.00
"01/06/2017 00:25:00","PJM",61847,25.32,0.20,0.00
"01/06/2017 00:25:00","WEST",61752,24.19,-0.93,0.00
"01/06/2017 00:30:00","CAPITL",61757,34.85,2.31,0.00
