"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"01/08/2017","01/05/2017","Actual","ALB",29,20,23,17
"01/08/2017","01/05/2017","Actual","ART",25,20,24,18
"01/08/2017","01/05/2017","Actual","BGM",23,17,19,15
"01/08/2017","01/05/2017","Actual","BUF",21,15,18,13
"01/08/2017","01/05/2017","Actual","ELM",27,20,22,17
"01/08/2017","01/05/2017","Actual","HPN",32,25,26,20
"01/08/2017","01/05/2017","Actual","ISP",34,27,27,22
"01/08/2017","01/05/2017","Actual","JFK",35,29,27,23
"01/08/2017","01/05/2017","Actual","LGA",36,29,28,23
"01/08/2017","01/05/2017","Actual","MSS",25,20,21,17
"01/08/2017","01/05/2017","Actual","MSV",25,19,21,16
"01/08/2017","01/05/2017","Actual","PLB",27,21,23,17
"01/08/2017","01/05/2017","Actual","POU",31,25,25,20
"01/08/2017","01/05/2017","Actual","ROC",23,17,20,16
"01/08/2017","01/05/2017","Actual","SWF",33,23,28,20
"01/08/2017","01/05/2017","Actual","SYR",24,19,21,16
"01/08/2017","01/05/2017","Actual","UCA",25,19,21,16
"01/08/2017","01/06/2017","Actual","ALB",26,13,23,11
"01/08/2017","01/06/2017","Actual","ART",20,8,19,8
"01/08/2017","01/06/2017","Actual","BGM",18,11,17,10
"01/08/2017","01/06/2017","Actual","BUF",18,9,15,7
"01/08/2017","01/06/2017","Actual","ELM",22,6,19,5
"01/08/2017","01/06/2017","Actual","HPN",31,23,27,19
"01/08/2017","01/06/2017","Actual","ISP",32,25,28,22
"01/08/2017","01/06/2017","Actual","JFK",35,27,28,21
"01/08/2017","01/06/2017","Actual","LGA",34,28,28,23
"01/08/2017","01/06/2017","Actual","MSS",22,11,18,10
"01/08/2017","01/06/2017","Actual","MSV",21,10,20,8
"01/08/2017","01/06/2017","Actual","PLB",25,15,20,13
"01/08/2017","01/06/2017","Actual","POU",28,15,25,14
"01/08/2017","01/06/2017","Actual","ROC",20,7,16,6
"01/08/2017","01/06/2017","Actual","SWF",28,18,25,16
"01/08/2017","01/06/2017","Actual","SYR",20,8,18,7
"01/08/2017","01/06/2017","Actual","UCA",21,7,20,6
"01/08/2017","01/07/2017","Actual","ALB",26,12,21,10
"01/08/2017","01/07/2017","Actual","ART",17,-8,15,-8
"01/08/2017","01/07/2017","Actual","BGM",17,8,14,7
"01/08/2017","01/07/2017","Actual","BUF",17,6,15,5
"01/08/2017","01/07/2017","Actual","ELM",22,5,17,4
"01/08/2017","01/07/2017","Actual","HPN",21,19,18,16
"01/08/2017","01/07/2017","Actual","ISP",24,21,22,19
"01/08/2017","01/07/2017","Actual","JFK",27,21,22,19
"01/08/2017","01/07/2017","Actual","LGA",28,22,23,20
"01/08/2017","01/07/2017","Actual","MSS",18,2,15,1
"01/08/2017","01/07/2017","Actual","MSV",19,10,16,9
"01/08/2017","01/07/2017","Actual","PLB",20,6,17,4
"01/08/2017","01/07/2017","Actual","POU",20,13,17,12
"01/08/2017","01/07/2017","Actual","ROC",21,8,18,7
"01/08/2017","01/07/2017","Actual","SWF",19,14,18,13
"01/08/2017","01/07/2017","Actual","SYR",21,9,18,8
"01/08/2017","01/07/2017","Actual","UCA",19,1,17,1
"01/08/2017","01/08/2017","Forecast","ALB",22,10,18,8
"01/08/2017","01/08/2017","Forecast","ART",15,-1,14,-1
"01/08/2017","01/08/2017","Forecast","BGM",12,6,10,5
"01/08/2017","01/08/2017","Forecast","BUF",15,11,13,9
"01/08/2017","01/08/2017","Forecast","ELM",19,9,15,7
"01/08/2017","01/08/2017","Forecast","HPN",22,15,18,12
"01/08/2017","01/08/2017","Forecast","ISP",24,17,20,15
"01/08/2017","01/08/2017","Forecast","JFK",26,18,21,15
"01/08/2017","01/08/2017","Forecast","LGA",25,19,21,16
"01/08/2017","01/08/2017","Forecast","MSS",11,-1,9,-2
"01/08/2017","01/08/2017","Forecast","MSV",15,8,12,6
"01/08/2017","01/08/2017","Forecast","PLB",13,2,11,1
"01/08/2017","01/08/2017","Forecast","POU",20,6,16,5
"01/08/2017","01/08/2017","Forecast","ROC",16,12,13,10
"01/08/2017","01/08/2017","Forecast","SWF",20,12,16,10
"01/08/2017","01/08/2017","Forecast","SYR",17,11,14,10
"01/08/2017","01/08/2017","Forecast","UCA",15,4,13,3
"01/08/2017","01/09/2017","Forecast","ALB",21,6,18,5
"01/08/2017","01/09/2017","Forecast","ART",23,0,21,-1
"01/08/2017","01/09/2017","Forecast","BGM",18,6,15,5
"01/08/2017","01/09/2017","Forecast","BUF",25,12,22,10
"01/08/2017","01/09/2017","Forecast","ELM",25,7,20,6
"01/08/2017","01/09/2017","Forecast","HPN",22,11,19,9
"01/08/2017","01/09/2017","Forecast","ISP",24,12,22,11
"01/08/2017","01/09/2017","Forecast","JFK",26,15,23,13
"01/08/2017","01/09/2017","Forecast","LGA",26,14,22,11
"01/08/2017","01/09/2017","Forecast","MSS",21,-2,18,-3
"01/08/2017","01/09/2017","Forecast","MSV",19,5,16,4
"01/08/2017","01/09/2017","Forecast","PLB",20,1,17,0
"01/08/2017","01/09/2017","Forecast","POU",23,6,19,5
"01/08/2017","01/09/2017","Forecast","ROC",26,12,22,10
"01/08/2017","01/09/2017","Forecast","SWF",23,8,19,7
"01/08/2017","01/09/2017","Forecast","SYR",23,10,20,9
"01/08/2017","01/09/2017","Forecast","UCA",21,2,18,2
