"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"01/07/2017 00:05:00","CAPITL",61757,32.70,2.28,0.00
"01/07/2017 00:05:00","CENTRL",61754,30.42,0.00,0.00
"01/07/2017 00:05:00","DUNWOD",61760,33.10,2.68,0.00
"01/07/2017 00:05:00","GENESE",61753,29.69,-0.73,0.00
"01/07/2017 00:05:00","H Q",61844,29.66,-0.76,0.00
"01/07/2017 00:05:00","HUD VL",61758,33.00,2.58,0.00
"01/07/2017 00:05:00","LONGIL",61762,33.76,3.35,0.00
"01/07/2017 00:05:00","MHK VL",61756,31.57,1.16,0.00
"01/07/2017 00:05:00","MILLWD",61759,33.16,2.74,0.00
"01/07/2017 00:05:00","N.Y.C.",61761,33.28,2.86,0.00
"01/07/2017 00:05:00","NORTH",61755,29.87,-0.55,0.00
"01/07/2017 00:05:00","NPX",61845,32.79,2.37,0.00
"01/07/2017 00:05:00","O H",61846,28.47,-1.95,0.00
"01/07/2017 00:05:00","PJM",61847,30.39,-0.03,0.00
"01/07/2017 00:05:00","WEST",61752,29.26,-1.16,0.00
"01/07/2017 00:10:00","CAPITL",61757,36.21,2.24,-4.14
"01/07/2017 00:10:00","CENTRL",61754,30.11,-0.15,-0.42
"01/07/2017 00:10:00","DUNWOD",61760,35.35,2.65,-2.86
"01/07/2017 00:10:00","GENESE",61753,29.30,-0.87,-0.33
"01/07/2017 00:10:00","H Q",61844,29.12,-0.72,0.00
"01/07/2017 00:10:00","HUD VL",61758,35.27,2.57,-2.86
"01/07/2017 00:10:00","LONGIL",61762,36.00,3.31,-2.85
"01/07/2017 00:10:00","MHK VL",61756,31.40,1.10,-0.45
"01/07/2017 00:10:00","MILLWD",61759,35.46,2.71,-2.91
"01/07/2017 00:10:00","N.Y.C.",61761,35.56,2.86,-2.85
"01/07/2017 00:10:00","NORTH",61755,29.36,-0.48,0.00
"01/07/2017 00:10:00","NPX",61845,35.76,2.33,-3.59
"01/07/2017 00:10:00","O H",61846,28.14,-2.15,-0.45
"01/07/2017 00:10:00","PJM",61847,31.26,-0.15,-1.57
"01/07/2017 00:10:00","WEST",61752,28.92,-1.34,-0.43
"01/07/2017 00:15:00","CAPITL",61757,32.93,2.35,0.00
"01/07/2017 00:15:00","CENTRL",61754,30.61,0.03,0.00
"01/07/2017 00:15:00","DUNWOD",61760,33.18,2.60,0.00
"01/07/2017 00:15:00","GENESE",61753,29.78,-0.80,0.00
"01/07/2017 00:15:00","H Q",61844,29.81,-0.76,0.00
"01/07/2017 00:15:00","HUD VL",61758,33.11,2.54,0.00
"01/07/2017 00:15:00","LONGIL",61762,33.85,3.27,0.00
"01/07/2017 00:15:00","MHK VL",61756,31.77,1.19,0.00
"01/07/2017 00:15:00","MILLWD",61759,33.27,2.69,0.00
"01/07/2017 00:15:00","N.Y.C.",61761,33.33,2.75,0.00
"01/07/2017 00:15:00","NORTH",61755,30.03,-0.55,0.00
"01/07/2017 00:15:00","NPX",61845,32.96,2.39,0.00
"01/07/2017 00:15:00","O H",61846,28.65,-1.93,0.00
"01/07/2017 00:15:00","PJM",61847,30.70,0.12,0.00
"01/07/2017 00:15:00","WEST",61752,29.35,-1.22,0.00
"01/07/2017 00:20:00","CAPITL",61757,36.22,2.35,-3.41
"01/07/2017 00:20:00","CENTRL",61754,30.75,-0.06,-0.35
"01/07/2017 00:20:00","DUNWOD",61760,35.43,2.62,-2.35
"01/07/2017 00:20:00","GENESE",61753,29.76,-0.98,-0.27
"01/07/2017 00:20:00","H Q",61844,29.73,-0.73,0.00
"01/07/2017 00:20:00","HUD VL",61758,35.38,2.56,-2.36
"01/07/2017 00:20:00","LONGIL",61762,36.11,3.29,-2.35
"01/07/2017 00:20:00","MHK VL",61756,32.00,1.16,-0.39
"01/07/2017 00:20:00","MILLWD",61759,35.57,2.71,-2.40
"01/07/2017 00:20:00","N.Y.C.",61761,35.59,2.77,-2.35
"01/07/2017 00:20:00","NORTH",61755,29.97,-0.49,0.00
"01/07/2017 00:20:00","NPX",61845,35.83,2.41,-2.96
"01/07/2017 00:20:00","O H",61846,28.64,-2.19,-0.37
"01/07/2017 00:20:00","PJM",61847,31.76,0.00,-1.30
"01/07/2017 00:20:00","WEST",61752,29.32,-1.49,-0.35
"01/07/2017 00:22:11","CAPITL",61757,45.09,2.24,-13.40
"01/07/2017 00:22:11","CENTRL",61754,30.77,-0.06,-1.37
"01/07/2017 00:22:11","DUNWOD",61760,41.21,2.50,-9.25
"01/07/2017 00:22:11","GENESE",61753,29.56,-0.97,-1.07
"01/07/2017 00:22:11","H Q",61844,28.75,-0.71,0.00
"01/07/2017 00:22:11","HUD VL",61758,41.21,2.47,-9.28
"01/07/2017 00:22:11","LONGIL",61762,41.82,3.12,-9.25
"01/07/2017 00:22:11","MHK VL",61756,32.09,1.12,-1.52
"01/07/2017 00:22:11","MILLWD",61759,41.48,2.59,-9.43
"01/07/2017 00:22:11","N.Y.C.",61761,41.35,2.65,-9.25
"01/07/2017 00:22:11","NORTH",61755,28.98,-0.47,0.00
"01/07/2017 00:22:11","NPX",61845,43.42,2.33,-11.64
"01/07/2017 00:22:11","O H",61846,28.78,-2.15,-1.47
"01/07/2017 00:22:11","PJM",61847,34.51,-0.03,-5.09
"01/07/2017 00:22:11","WEST",61752,29.34,-1.50,-1.38
"01/07/2017 00:23:59","CAPITL",61757,240.81,-0.05,-241.48
"01/07/2017 00:23:59","CENTRL",61754,24.06,0.00,-24.68
"01/07/2017 00:23:59","DUNWOD",61760,166.05,-0.05,-166.72
"01/07/2017 00:23:59","GENESE",61753,18.72,0.02,-19.32
"01/07/2017 00:23:59","H Q",61844,-0.61,0.01,0.00
"01/07/2017 00:23:59","HUD VL",61758,166.58,-0.05,-167.25
"01/07/2017 00:23:59","LONGIL",61762,166.04,-0.06,-166.72
"01/07/2017 00:23:59","MHK VL",61756,26.68,-0.02,-27.33
"01/07/2017 00:23:59","MILLWD",61759,169.27,-0.05,-169.94
"01/07/2017 00:23:59","N.Y.C.",61761,166.00,-0.05,-166.67
"01/07/2017 00:23:59","NORTH",61755,-0.61,0.01,0.00
"01/07/2017 00:23:59","NPX",61845,209.21,-0.05,-209.88
"01/07/2017 00:23:59","O H",61846,25.93,0.04,-26.51
"01/07/2017 00:23:59","PJM",61847,91.12,0.00,-91.74
"01/07/2017 00:23:59","WEST",61752,24.32,0.03,-24.91
"01/07/2017 00:25:00","CAPITL",61757,58.67,1.95,-30.43
"01/07/2017 00:25:00","CENTRL",61754,29.35,-0.05,-3.11
"01/07/2017 00:25:00","DUNWOD",61760,49.46,2.16,-21.01
"01/07/2017 00:25:00","GENESE",61753,27.86,-0.87,-2.43
"01/07/2017 00:25:00","H Q",61844,25.66,-0.63,0.00
"01/07/2017 00:25:00","HUD VL",61758,49.53,2.16,-21.08
"01/07/2017 00:25:00","LONGIL",61762,49.93,2.63,-21.01
"01/07/2017 00:25:00","MHK VL",61756,30.73,1.00,-3.44
"01/07/2017 00:25:00","MILLWD",61759,49.94,2.23,-21.42
"01/07/2017 00:25:00","N.Y.C.",61761,49.56,2.26,-21.00
"01/07/2017 00:25:00","NORTH",61755,25.84,-0.45,0.00
"01/07/2017 00:25:00","NPX",61845,54.77,2.02,-26.45
"01/07/2017 00:25:00","O H",61846,27.71,-1.92,-3.34
"01/07/2017 00:25:00","PJM",61847,37.80,-0.05,-11.56
"01/07/2017 00:25:00","WEST",61752,28.06,-1.37,-3.14
"01/07/2017 00:30:00","CAPITL",61757,58.67,1.95,-30.43
"01/07/2017 00:30:00","CENTRL",61754,29.35,-0.05,-3.11
"01/07/2017 00:30:00","DUNWOD",61760,49.46,2.16,-21.01
"01/07/2017 00:30:00","GENESE",61753,27.86,-0.87,-2.43
"01/07/2017 00:30:00","H Q",61844,25.66,-0.63,0.00
"01/07/2017 00:30:00","HUD VL",61758,49.53,2.16,-21.08
"01/07/2017 00:30:00","LONGIL",61762,49.93,2.63,-21.01
"01/07/2017 00:30:00","MHK VL",61756,30.73,1.00,-3.44
"01/07/2017 00:30:00","MILLWD",61759,49.94,2.23,-21.42
"01/07/2017 00:30:00","N.Y.C.",61761,49.56,2.26,-21.00
"01/07/2017 00:30:00","NORTH",61755,25.84,-0.45,0.00
"01/07/2017 00:30:00","NPX",61845,54.77,2.02,-26.45
"01/07/2017 00:30:00","O H",61846,27.71,-1.92,-3.34
"01/07/2017 00:30:00","PJM",61847,37.80,-0.05,-11.56
"01/07/2017 00:30:00","WEST",61752,28.06,-1.37,-3.14
"01/07/2017 00:35:00","CAPITL",61757,58.70,1.97,-30.43
"01/07/2017 00:35:00","CENTRL",61754,29.38,-0.03,-3.11
"01/07/2017 00:35:00","DUNWOD",61760,49.46,2.16,-21.01
"01/07/2017 00:35:00","GENESE",61753,27.88,-0.84,-2.43
"01/07/2017 00:35:00","H Q",61844,25.66,-0.63,0.00
"01/07/2017 00:35:00","HUD VL",61758,49.53,2.16,-21.08
"01/07/2017 00:35:00","LONGIL",61762,49.98,2.68,-21.01
"01/07/2017 00:35:00","MHK VL",61756,30.73,1.00,-3.44
"01/07/2017 00:35:00","MILLWD",61759,49.94,2.23,-21.42
"01/07/2017 00:35:00","N.Y.C.",61761,49.56,2.26,-21.00
"01/07/2017 00:35:00","NORTH",61755,25.84,-0.45,0.00
"01/07/2017 00:35:00","NPX",61845,54.74,2.00,-26.45
"01/07/2017 00:35:00","O H",61846,27.71,-1.92,-3.34
"01/07/2017 00:35:00","PJM",61847,37.83,-0.03,-11.56
"01/07/2017 00:35:00","WEST",61752,28.06,-1.37,-3.14
