"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"01/23/2017","01/20/2017","Actual","ALB",40,33,36,32
"01/23/2017","01/20/2017","Actual","ART",42,34,39,34
"01/23/2017","01/20/2017","Actual","BGM",36,30,36,30
"01/23/2017","01/20/2017","Actual","BUF",47,34,46,33
"01/23/2017","01/20/2017","Actual","ELM",42,34,40,32
"01/23/2017","01/20/2017","Actual","HPN",41,37,38,34
"01/23/2017","01/20/2017","Actual","ISP",44,39,42,36
"01/23/2017","01/20/2017","Actual","JFK",46,42,43,36
"01/23/2017","01/20/2017","Actual","LGA",46,41,41,37
"01/23/2017","01/20/2017","Actual","MSS",38,33,35,33
"01/23/2017","01/20/2017","Actual","MSV",36,32,35,31
"01/23/2017","01/20/2017","Actual","PLB",37,32,35,31
"01/23/2017","01/20/2017","Actual","POU",42,35,38,33
"01/23/2017","01/20/2017","Actual","ROC",46,35,43,34
"01/23/2017","01/20/2017","Actual","SWF",41,36,38,34
"01/23/2017","01/20/2017","Actual","SYR",42,34,39,33
"01/23/2017","01/20/2017","Actual","UCA",38,33,37,33
"01/23/2017","01/21/2017","Actual","ALB",52,38,46,36
"01/23/2017","01/21/2017","Actual","ART",44,37,44,37
"01/23/2017","01/21/2017","Actual","BGM",50,35,47,35
"01/23/2017","01/21/2017","Actual","BUF",59,40,54,40
"01/23/2017","01/21/2017","Actual","ELM",58,36,51,35
"01/23/2017","01/21/2017","Actual","HPN",54,38,49,38
"01/23/2017","01/21/2017","Actual","ISP",49,42,46,42
"01/23/2017","01/21/2017","Actual","JFK",47,42,46,42
"01/23/2017","01/21/2017","Actual","LGA",51,41,47,41
"01/23/2017","01/21/2017","Actual","MSS",40,33,40,33
"01/23/2017","01/21/2017","Actual","MSV",43,34,43,33
"01/23/2017","01/21/2017","Actual","PLB",41,33,40,32
"01/23/2017","01/21/2017","Actual","POU",53,37,48,37
"01/23/2017","01/21/2017","Actual","ROC",50,44,48,43
"01/23/2017","01/21/2017","Actual","SWF",52,37,49,37
"01/23/2017","01/21/2017","Actual","SYR",52,37,48,37
"01/23/2017","01/21/2017","Actual","UCA",48,36,46,36
"01/23/2017","01/22/2017","Actual","ALB",43,37,41,36
"01/23/2017","01/22/2017","Actual","ART",41,34,41,33
"01/23/2017","01/22/2017","Actual","BGM",56,36,51,36
"01/23/2017","01/22/2017","Actual","BUF",47,37,46,36
"01/23/2017","01/22/2017","Actual","ELM",58,39,52,38
"01/23/2017","01/22/2017","Actual","HPN",51,42,48,42
"01/23/2017","01/22/2017","Actual","ISP",54,42,50,42
"01/23/2017","01/22/2017","Actual","JFK",53,43,51,43
"01/23/2017","01/22/2017","Actual","LGA",49,43,46,42
"01/23/2017","01/22/2017","Actual","MSS",36,32,36,30
"01/23/2017","01/22/2017","Actual","MSV",55,36,52,35
"01/23/2017","01/22/2017","Actual","PLB",36,32,36,32
"01/23/2017","01/22/2017","Actual","POU",51,39,47,39
"01/23/2017","01/22/2017","Actual","ROC",45,37,44,37
"01/23/2017","01/22/2017","Actual","SWF",50,37,48,37
"01/23/2017","01/22/2017","Actual","SYR",50,33,47,33
"01/23/2017","01/22/2017","Actual","UCA",47,38,45,38
"01/23/2017","01/23/2017","Forecast","ALB",38,35,36,32
"01/23/2017","01/23/2017","Forecast","ART",42,32,37,30
"01/23/2017","01/23/2017","Forecast","BGM",44,32,43,31
"01/23/2017","01/23/2017","Forecast","BUF",44,35,41,33
"01/23/2017","01/23/2017","Forecast","ELM",49,34,45,32
"01/23/2017","01/23/2017","Forecast","HPN",44,38,42,35
"01/23/2017","01/23/2017","Forecast","ISP",43,39,42,37
"01/23/2017","01/23/2017","Forecast","JFK",47,41,45,38
"01/23/2017","01/23/2017","Forecast","LGA",45,40,43,37
"01/23/2017","01/23/2017","Forecast","MSS",36,29,32,28
"01/23/2017","01/23/2017","Forecast","MSV",37,32,37,30
"01/23/2017","01/23/2017","Forecast","PLB",37,31,33,28
"01/23/2017","01/23/2017","Forecast","POU",41,36,38,34
"01/23/2017","01/23/2017","Forecast","ROC",42,35,39,33
"01/23/2017","01/23/2017","Forecast","SWF",41,36,40,34
"01/23/2017","01/23/2017","Forecast","SYR",42,33,41,31
"01/23/2017","01/23/2017","Forecast","UCA",39,32,38,30
"01/23/2017","01/24/2017","Forecast","ALB",36,34,34,32
"01/23/2017","01/24/2017","Forecast","ART",32,27,30,27
"01/23/2017","01/24/2017","Forecast","BGM",32,28,31,27
"01/23/2017","01/24/2017","Forecast","BUF",35,33,33,31
"01/23/2017","01/24/2017","Forecast","ELM",36,30,34,29
"01/23/2017","01/24/2017","Forecast","HPN",41,38,40,35
"01/23/2017","01/24/2017","Forecast","ISP",45,37,43,36
"01/23/2017","01/24/2017","Forecast","JFK",44,40,42,37
"01/23/2017","01/24/2017","Forecast","LGA",45,42,42,38
"01/23/2017","01/24/2017","Forecast","MSS",30,28,28,26
"01/23/2017","01/24/2017","Forecast","MSV",33,32,32,30
"01/23/2017","01/24/2017","Forecast","PLB",33,29,31,27
"01/23/2017","01/24/2017","Forecast","POU",37,34,36,32
"01/23/2017","01/24/2017","Forecast","ROC",35,32,33,31
"01/23/2017","01/24/2017","Forecast","SWF",38,35,36,33
"01/23/2017","01/24/2017","Forecast","SYR",34,30,33,29
"01/23/2017","01/24/2017","Forecast","UCA",34,28,33,28
