"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"01/20/2017 00:05:00","CAPITL",61757,20.86,1.20,0.00
"01/20/2017 00:05:00","CENTRL",61754,19.74,0.08,0.00
"01/20/2017 00:05:00","DUNWOD",61760,21.31,1.65,0.00
"01/20/2017 00:05:00","GENESE",61753,19.37,-0.29,0.00
"01/20/2017 00:05:00","H Q",61844,19.09,-0.57,0.00
"01/20/2017 00:05:00","HUD VL",61758,21.25,1.59,0.00
"01/20/2017 00:05:00","LONGIL",61762,21.78,2.12,0.00
"01/20/2017 00:05:00","MHK VL",61756,20.21,0.55,0.00
"01/20/2017 00:05:00","MILLWD",61759,21.31,1.65,0.00
"01/20/2017 00:05:00","N.Y.C.",61761,21.53,1.87,0.00
"01/20/2017 00:05:00","NORTH",61755,19.09,-0.57,0.00
"01/20/2017 00:05:00","NPX",61845,20.88,1.22,0.00
"01/20/2017 00:05:00","O H",61846,18.66,-1.00,0.00
"01/20/2017 00:05:00","PJM",61847,19.80,0.14,0.00
"01/20/2017 00:05:00","WEST",61752,19.03,-0.63,0.00
"01/20/2017 00:10:00","CAPITL",61757,18.40,1.11,0.00
"01/20/2017 00:10:00","CENTRL",61754,17.43,0.14,0.00
"01/20/2017 00:10:00","DUNWOD",61760,18.66,1.37,0.00
"01/20/2017 00:10:00","GENESE",61753,17.19,-0.10,0.00
"01/20/2017 00:10:00","H Q",61844,16.76,-0.54,0.00
"01/20/2017 00:10:00","HUD VL",61758,18.65,1.35,0.00
"01/20/2017 00:10:00","LONGIL",61762,19.01,1.71,0.00
"01/20/2017 00:10:00","MHK VL",61756,17.78,0.48,0.00
"01/20/2017 00:10:00","MILLWD",61759,18.66,1.37,0.00
"01/20/2017 00:10:00","N.Y.C.",61761,18.82,1.52,0.00
"01/20/2017 00:10:00","NORTH",61755,16.76,-0.54,0.00
"01/20/2017 00:10:00","NPX",61845,18.37,1.07,0.00
"01/20/2017 00:10:00","O H",61846,16.62,-0.67,0.00
"01/20/2017 00:10:00","PJM",61847,17.47,0.17,0.00
"01/20/2017 00:10:00","WEST",61752,16.97,-0.33,0.00
"01/20/2017 00:15:00","CAPITL",61757,18.50,1.11,0.00
"01/20/2017 00:15:00","CENTRL",61754,17.56,0.17,0.00
"01/20/2017 00:15:00","DUNWOD",61760,18.67,1.29,0.00
"01/20/2017 00:15:00","GENESE",61753,17.25,-0.14,0.00
"01/20/2017 00:15:00","H Q",61844,16.88,-0.50,0.00
"01/20/2017 00:15:00","HUD VL",61758,18.65,1.27,0.00
"01/20/2017 00:15:00","LONGIL",61762,18.95,1.57,0.00
"01/20/2017 00:15:00","MHK VL",61756,17.89,0.50,0.00
"01/20/2017 00:15:00","MILLWD",61759,18.67,1.29,0.00
"01/20/2017 00:15:00","N.Y.C.",61761,18.83,1.44,0.00
"01/20/2017 00:15:00","NORTH",61755,16.90,-0.49,0.00
"01/20/2017 00:15:00","NPX",61845,18.41,1.03,0.00
"01/20/2017 00:15:00","O H",61846,16.73,-0.66,0.00
"01/20/2017 00:15:00","PJM",61847,17.63,0.24,0.00
"01/20/2017 00:15:00","WEST",61752,17.04,-0.35,0.00
"01/20/2017 00:20:00","CAPITL",61757,19.36,1.18,0.00
"01/20/2017 00:20:00","CENTRL",61754,18.38,0.20,0.00
"01/20/2017 00:20:00","DUNWOD",61760,19.58,1.40,0.00
"01/20/2017 00:20:00","GENESE",61753,18.06,-0.13,0.00
"01/20/2017 00:20:00","H Q",61844,17.62,-0.56,0.00
"01/20/2017 00:20:00","HUD VL",61758,19.56,1.38,0.00
"01/20/2017 00:20:00","LONGIL",61762,20.02,1.84,0.00
"01/20/2017 00:20:00","MHK VL",61756,18.73,0.54,0.00
"01/20/2017 00:20:00","MILLWD",61759,19.60,1.42,0.00
"01/20/2017 00:20:00","N.Y.C.",61761,19.75,1.56,0.00
"01/20/2017 00:20:00","NORTH",61755,17.62,-0.56,0.00
"01/20/2017 00:20:00","NPX",61845,13.16,1.09,6.11
"01/20/2017 00:20:00","O H",61846,17.53,-0.65,0.00
"01/20/2017 00:20:00","PJM",61847,18.49,0.31,0.00
"01/20/2017 00:20:00","WEST",61752,17.87,-0.31,0.00
"01/20/2017 00:25:00","CAPITL",61757,18.40,1.09,0.00
"01/20/2017 00:25:00","CENTRL",61754,17.52,0.21,0.00
"01/20/2017 00:25:00","DUNWOD",61760,18.59,1.28,0.00
"01/20/2017 00:25:00","GENESE",61753,17.21,-0.10,0.00
"01/20/2017 00:25:00","H Q",61844,16.81,-0.50,0.00
"01/20/2017 00:25:00","HUD VL",61758,18.58,1.26,0.00
"01/20/2017 00:25:00","LONGIL",61762,18.98,1.66,0.00
"01/20/2017 00:25:00","MHK VL",61756,17.83,0.52,0.00
"01/20/2017 00:25:00","MILLWD",61759,18.59,1.28,0.00
"01/20/2017 00:25:00","N.Y.C.",61761,18.73,1.42,0.00
"01/20/2017 00:25:00","NORTH",61755,16.83,-0.48,0.00
"01/20/2017 00:25:00","NPX",61845,12.21,1.00,6.11
"01/20/2017 00:25:00","O H",61846,16.72,-0.59,0.00
"01/20/2017 00:25:00","PJM",61847,17.59,0.28,0.00
"01/20/2017 00:25:00","WEST",61752,17.04,-0.28,0.00
"01/20/2017 00:30:00","CAPITL",61757,19.49,1.19,0.00
"01/20/2017 00:30:00","CENTRL",61754,18.44,0.15,0.00
"01/20/2017 00:30:00","DUNWOD",61760,19.65,1.35,0.00
"01/20/2017 00:30:00","GENESE",61753,18.10,-0.20,0.00
"01/20/2017 00:30:00","H Q",61844,17.79,-0.51,0.00
"01/20/2017 00:30:00","HUD VL",61758,19.63,1.34,0.00
"01/20/2017 00:30:00","LONGIL",61762,20.02,1.72,0.00
"01/20/2017 00:30:00","MHK VL",61756,18.83,0.53,0.00
"01/20/2017 00:30:00","MILLWD",61759,19.65,1.35,0.00
"01/20/2017 00:30:00","N.Y.C.",61761,19.80,1.50,0.00
"01/20/2017 00:30:00","NORTH",61755,17.79,-0.51,0.00
"01/20/2017 00:30:00","NPX",61845,13.29,1.10,6.11
"01/20/2017 00:30:00","O H",61846,17.51,-0.79,0.00
"01/20/2017 00:30:00","PJM",61847,18.48,0.18,0.00
"01/20/2017 00:30:00","WEST",61752,17.84,-0.46,0.00
"01/20/2017 00:35:00","CAPITL",61757,19.80,1.23,0.00
"01/20/2017 00:35:00","CENTRL",61754,18.72,0.15,0.00
"01/20/2017 00:35:00","DUNWOD",61760,19.95,1.37,0.00
"01/20/2017 00:35:00","GENESE",61753,18.35,-0.22,0.00
"01/20/2017 00:35:00","H Q",61844,18.04,-0.54,0.00
"01/20/2017 00:35:00","HUD VL",61758,19.93,1.36,0.00
"01/20/2017 00:35:00","LONGIL",61762,20.28,1.71,0.00
"01/20/2017 00:35:00","MHK VL",61756,19.12,0.54,0.00
"01/20/2017 00:35:00","MILLWD",61759,19.97,1.39,0.00
"01/20/2017 00:35:00","N.Y.C.",61761,20.10,1.52,0.00
"01/20/2017 00:35:00","NORTH",61755,18.04,-0.54,0.00
"01/20/2017 00:35:00","NPX",61845,19.73,1.15,0.00
"01/20/2017 00:35:00","O H",61846,17.76,-0.82,0.00
"01/20/2017 00:35:00","PJM",61847,18.76,0.19,0.00
"01/20/2017 00:35:00","WEST",61752,18.09,-0.48,0.00
"01/20/2017 00:40:00","CAPITL",61757,18.63,1.17,0.00
"01/20/2017 00:40:00","CENTRL",61754,17.60,0.14,0.00
"01/20/2017 00:40:00","DUNWOD",61760,18.73,1.27,0.00
"01/20/2017 00:40:00","GENESE",61753,17.27,-0.19,0.00
"01/20/2017 00:40:00","H Q",61844,16.95,-0.51,0.00
"01/20/2017 00:40:00","HUD VL",61758,18.72,1.26,0.00
"01/20/2017 00:40:00","LONGIL",61762,19.03,1.57,0.00
"01/20/2017 00:40:00","MHK VL",61756,17.95,0.49,0.00
"01/20/2017 00:40:00","MILLWD",61759,18.73,1.27,0.00
"01/20/2017 00:40:00","N.Y.C.",61761,18.87,1.41,0.00
"01/20/2017 00:40:00","NORTH",61755,16.95,-0.51,0.00
"01/20/2017 00:40:00","NPX",61845,18.54,1.08,0.00
"01/20/2017 00:40:00","O H",61846,16.73,-0.73,0.00
"01/20/2017 00:40:00","PJM",61847,17.63,0.17,0.00
"01/20/2017 00:40:00","WEST",61752,17.04,-0.42,0.00
"01/20/2017 00:45:00","CAPITL",61757,18.71,1.17,0.00
"01/20/2017 00:45:00","CENTRL",61754,17.67,0.14,0.00
"01/20/2017 00:45:00","DUNWOD",61760,18.83,1.30,0.00
"01/20/2017 00:45:00","GENESE",61753,17.32,-0.21,0.00
"01/20/2017 00:45:00","H Q",61844,17.03,-0.51,0.00
"01/20/2017 00:45:00","HUD VL",61758,18.81,1.28,0.00
"01/20/2017 00:45:00","LONGIL",61762,19.13,1.60,0.00
"01/20/2017 00:45:00","MHK VL",61756,18.02,0.49,0.00
"01/20/2017 00:45:00","MILLWD",61759,18.83,1.30,0.00
"01/20/2017 00:45:00","N.Y.C.",61761,18.95,1.42,0.00
"01/20/2017 00:45:00","NORTH",61755,17.03,-0.51,0.00
"01/20/2017 00:45:00","NPX",61845,18.62,1.09,0.00
"01/20/2017 00:45:00","O H",61846,16.80,-0.74,0.00
"01/20/2017 00:45:00","PJM",61847,17.73,0.19,0.00
"01/20/2017 00:45:00","WEST",61752,17.08,-0.46,0.00
"01/20/2017 00:50:00","CAPITL",61757,19.78,1.24,0.00
"01/20/2017 00:50:00","CENTRL",61754,18.69,0.15,0.00
"01/20/2017 00:50:00","DUNWOD",61760,19.89,1.35,0.00
"01/20/2017 00:50:00","GENESE",61753,18.34,-0.20,0.00
"01/20/2017 00:50:00","H Q",61844,18.00,-0.54,0.00
"01/20/2017 00:50:00","HUD VL",61758,19.89,1.35,0.00
