"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"01/06/2017","01/03/2017","Actual","ALB",37,31,36,30
"01/06/2017","01/03/2017","Actual","ART",41,34,40,34
"01/06/2017","01/03/2017","Actual","BGM",35,32,35,31
"01/06/2017","01/03/2017","Actual","BUF",43,40,42,38
"01/06/2017","01/03/2017","Actual","ELM",41,37,39,35
"01/06/2017","01/03/2017","Actual","HPN",43,37,42,36
"01/06/2017","01/03/2017","Actual","ISP",45,40,45,40
"01/06/2017","01/03/2017","Actual","JFK",46,41,44,39
"01/06/2017","01/03/2017","Actual","LGA",46,40,44,39
"01/06/2017","01/03/2017","Actual","MSS",35,27,34,25
"01/06/2017","01/03/2017","Actual","MSV",36,30,36,30
"01/06/2017","01/03/2017","Actual","PLB",39,30,36,28
"01/06/2017","01/03/2017","Actual","POU",38,33,38,32
"01/06/2017","01/03/2017","Actual","ROC",43,39,41,37
"01/06/2017","01/03/2017","Actual","SWF",39,34,39,34
"01/06/2017","01/03/2017","Actual","SYR",37,34,36,31
"01/06/2017","01/03/2017","Actual","UCA",36,32,35,30
"01/06/2017","01/04/2017","Actual","ALB",44,25,40,22
"01/06/2017","01/04/2017","Actual","ART",39,23,39,20
"01/06/2017","01/04/2017","Actual","BGM",37,21,37,17
"01/06/2017","01/04/2017","Actual","BUF",40,19,40,15
"01/06/2017","01/04/2017","Actual","ELM",43,25,40,20
"01/06/2017","01/04/2017","Actual","HPN",50,34,45,27
"01/06/2017","01/04/2017","Actual","ISP",52,36,46,28
"01/06/2017","01/04/2017","Actual","JFK",55,37,46,28
"01/06/2017","01/04/2017","Actual","LGA",54,37,46,29
"01/06/2017","01/04/2017","Actual","MSS",39,24,35,20
"01/06/2017","01/04/2017","Actual","MSV",39,25,38,21
"01/06/2017","01/04/2017","Actual","PLB",40,24,38,21
"01/06/2017","01/04/2017","Actual","POU",46,31,43,25
"01/06/2017","01/04/2017","Actual","ROC",42,20,41,16
"01/06/2017","01/04/2017","Actual","SWF",45,36,43,31
"01/06/2017","01/04/2017","Actual","SYR",40,22,40,19
"01/06/2017","01/04/2017","Actual","UCA",38,22,38,20
"01/06/2017","01/05/2017","Actual","ALB",29,20,23,17
"01/06/2017","01/05/2017","Actual","ART",25,20,24,18
"01/06/2017","01/05/2017","Actual","BGM",23,17,19,15
"01/06/2017","01/05/2017","Actual","BUF",21,15,18,13
"01/06/2017","01/05/2017","Actual","ELM",27,20,22,17
"01/06/2017","01/05/2017","Actual","HPN",32,25,26,20
"01/06/2017","01/05/2017","Actual","ISP",34,27,27,22
"01/06/2017","01/05/2017","Actual","JFK",35,29,27,23
"01/06/2017","01/05/2017","Actual","LGA",36,29,28,23
"01/06/2017","01/05/2017","Actual","MSS",25,20,21,17
"01/06/2017","01/05/2017","Actual","MSV",25,19,21,16
"01/06/2017","01/05/2017","Actual","PLB",27,21,23,17
"01/06/2017","01/05/2017","Actual","POU",31,25,25,20
"01/06/2017","01/05/2017","Actual","ROC",23,17,20,16
"01/06/2017","01/05/2017","Actual","SWF",33,23,28,20
"01/06/2017","01/05/2017","Actual","SYR",24,19,21,16
"01/06/2017","01/05/2017","Actual","UCA",25,19,21,16
"01/06/2017","01/06/2017","Forecast","ALB",26,16,23,14
"01/06/2017","01/06/2017","Forecast","ART",20,8,18,8
"01/06/2017","01/06/2017","Forecast","BGM",18,11,17,9
"01/06/2017","01/06/2017","Forecast","BUF",17,10,14,8
"01/06/2017","01/06/2017","Forecast","ELM",23,14,19,12
"01/06/2017","01/06/2017","Forecast","HPN",31,23,26,19
"01/06/2017","01/06/2017","Forecast","ISP",33,25,29,22
"01/06/2017","01/06/2017","Forecast","JFK",34,28,29,24
"01/06/2017","01/06/2017","Forecast","LGA",34,29,28,24
"01/06/2017","01/06/2017","Forecast","MSS",20,9,17,8
"01/06/2017","01/06/2017","Forecast","MSV",21,12,20,10
"01/06/2017","01/06/2017","Forecast","PLB",24,13,20,11
"01/06/2017","01/06/2017","Forecast","POU",29,18,24,16
"01/06/2017","01/06/2017","Forecast","ROC",19,8,16,7
"01/06/2017","01/06/2017","Forecast","SWF",28,19,24,16
"01/06/2017","01/06/2017","Forecast","SYR",20,14,18,12
"01/06/2017","01/06/2017","Forecast","UCA",21,11,20,10
"01/06/2017","01/07/2017","Forecast","ALB",22,13,19,11
"01/06/2017","01/07/2017","Forecast","ART",21,12,18,11
"01/06/2017","01/07/2017","Forecast","BGM",16,9,13,8
"01/06/2017","01/07/2017","Forecast","BUF",18,10,15,8
"01/06/2017","01/07/2017","Forecast","ELM",22,10,18,9
"01/06/2017","01/07/2017","Forecast","HPN",24,21,20,17
"01/06/2017","01/07/2017","Forecast","ISP",26,21,23,19
"01/06/2017","01/07/2017","Forecast","JFK",27,25,23,21
"01/06/2017","01/07/2017","Forecast","LGA",28,26,23,22
"01/06/2017","01/07/2017","Forecast","MSS",17,5,15,4
"01/06/2017","01/07/2017","Forecast","MSV",18,10,15,8
"01/06/2017","01/07/2017","Forecast","PLB",21,9,18,8
"01/06/2017","01/07/2017","Forecast","POU",23,15,19,13
"01/06/2017","01/07/2017","Forecast","ROC",20,11,17,9
"01/06/2017","01/07/2017","Forecast","SWF",23,16,19,13
"01/06/2017","01/07/2017","Forecast","SYR",21,12,18,10
"01/06/2017","01/07/2017","Forecast","UCA",19,7,16,6
