"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"01/27/2017","01/24/2017","Actual","ALB",35,32,34,30
"01/27/2017","01/24/2017","Actual","ART",31,26,30,26
"01/27/2017","01/24/2017","Actual","BGM",32,26,31,25
"01/27/2017","01/24/2017","Actual","BUF",34,31,32,30
"01/27/2017","01/24/2017","Actual","ELM",35,32,33,30
"01/27/2017","01/24/2017","Actual","HPN",37,36,36,34
"01/27/2017","01/24/2017","Actual","ISP",40,37,40,36
"01/27/2017","01/24/2017","Actual","JFK",40,38,39,37
"01/27/2017","01/24/2017","Actual","LGA",41,38,38,36
"01/27/2017","01/24/2017","Actual","MSS",29,27,27,25
"01/27/2017","01/24/2017","Actual","MSV",34,30,33,29
"01/27/2017","01/24/2017","Actual","PLB",31,26,28,25
"01/27/2017","01/24/2017","Actual","POU",35,32,34,31
"01/27/2017","01/24/2017","Actual","ROC",36,30,33,30
"01/27/2017","01/24/2017","Actual","SWF",36,32,36,32
"01/27/2017","01/24/2017","Actual","SYR",32,29,32,28
"01/27/2017","01/24/2017","Actual","UCA",35,28,35,27
"01/27/2017","01/25/2017","Actual","ALB",40,31,35,28
"01/27/2017","01/25/2017","Actual","ART",35,26,35,25
"01/27/2017","01/25/2017","Actual","BGM",37,26,35,26
"01/27/2017","01/25/2017","Actual","BUF",46,33,43,30
"01/27/2017","01/25/2017","Actual","ELM",41,34,38,31
"01/27/2017","01/25/2017","Actual","HPN",46,35,39,32
"01/27/2017","01/25/2017","Actual","ISP",49,36,42,33
"01/27/2017","01/25/2017","Actual","JFK",50,38,42,34
"01/27/2017","01/25/2017","Actual","LGA",53,39,44,35
"01/27/2017","01/25/2017","Actual","MSS",35,27,34,26
"01/27/2017","01/25/2017","Actual","MSV",37,28,34,27
"01/27/2017","01/25/2017","Actual","PLB",33,26,31,25
"01/27/2017","01/25/2017","Actual","POU",42,32,37,30
"01/27/2017","01/25/2017","Actual","ROC",40,32,37,31
"01/27/2017","01/25/2017","Actual","SWF",43,34,38,32
"01/27/2017","01/25/2017","Actual","SYR",37,28,36,28
"01/27/2017","01/25/2017","Actual","UCA",35,27,35,27
"01/27/2017","01/26/2017","Actual","ALB",47,37,41,34
"01/27/2017","01/26/2017","Actual","ART",42,33,41,33
"01/27/2017","01/26/2017","Actual","BGM",39,31,38,30
"01/27/2017","01/26/2017","Actual","BUF",46,34,43,32
"01/27/2017","01/26/2017","Actual","ELM",42,33,37,32
"01/27/2017","01/26/2017","Actual","HPN",52,39,46,35
"01/27/2017","01/26/2017","Actual","ISP",50,42,46,36
"01/27/2017","01/26/2017","Actual","JFK",53,42,47,38
"01/27/2017","01/26/2017","Actual","LGA",56,46,47,38
"01/27/2017","01/26/2017","Actual","MSS",35,32,35,31
"01/27/2017","01/26/2017","Actual","MSV",46,32,41,31
"01/27/2017","01/26/2017","Actual","PLB",37,29,36,27
"01/27/2017","01/26/2017","Actual","POU",49,32,44,31
"01/27/2017","01/26/2017","Actual","ROC",44,36,41,34
"01/27/2017","01/26/2017","Actual","SWF",48,34,44,34
"01/27/2017","01/26/2017","Actual","SYR",45,33,43,33
"01/27/2017","01/26/2017","Actual","UCA",42,33,38,33
"01/27/2017","01/27/2017","Forecast","ALB",39,33,34,29
"01/27/2017","01/27/2017","Forecast","ART",35,31,33,29
"01/27/2017","01/27/2017","Forecast","BGM",31,27,29,25
"01/27/2017","01/27/2017","Forecast","BUF",35,31,32,28
"01/27/2017","01/27/2017","Forecast","ELM",37,30,32,27
"01/27/2017","01/27/2017","Forecast","HPN",41,34,35,30
"01/27/2017","01/27/2017","Forecast","ISP",43,35,36,31
"01/27/2017","01/27/2017","Forecast","JFK",44,37,36,32
"01/27/2017","01/27/2017","Forecast","LGA",45,39,38,33
"01/27/2017","01/27/2017","Forecast","MSS",35,29,33,27
"01/27/2017","01/27/2017","Forecast","MSV",34,28,32,25
"01/27/2017","01/27/2017","Forecast","PLB",35,29,32,26
"01/27/2017","01/27/2017","Forecast","POU",40,33,34,29
"01/27/2017","01/27/2017","Forecast","ROC",36,31,33,28
"01/27/2017","01/27/2017","Forecast","SWF",39,33,34,29
"01/27/2017","01/27/2017","Forecast","SYR",36,31,34,29
"01/27/2017","01/27/2017","Forecast","UCA",34,28,33,27
"01/27/2017","01/28/2017","Forecast","ALB",36,31,31,28
"01/27/2017","01/28/2017","Forecast","ART",32,28,30,27
"01/27/2017","01/28/2017","Forecast","BGM",29,24,26,22
"01/27/2017","01/28/2017","Forecast","BUF",31,28,28,26
"01/27/2017","01/28/2017","Forecast","ELM",34,28,29,25
"01/27/2017","01/28/2017","Forecast","HPN",39,31,32,28
"01/27/2017","01/28/2017","Forecast","ISP",39,31,33,28
"01/27/2017","01/28/2017","Forecast","JFK",41,34,34,30
"01/27/2017","01/28/2017","Forecast","LGA",42,34,35,30
"01/27/2017","01/28/2017","Forecast","MSS",33,25,30,23
"01/27/2017","01/28/2017","Forecast","MSV",31,26,27,24
"01/27/2017","01/28/2017","Forecast","PLB",34,26,29,23
"01/27/2017","01/28/2017","Forecast","POU",38,29,32,26
"01/27/2017","01/28/2017","Forecast","ROC",33,29,29,26
"01/27/2017","01/28/2017","Forecast","SWF",37,30,31,27
"01/27/2017","01/28/2017","Forecast","SYR",33,28,30,26
"01/27/2017","01/28/2017","Forecast","UCA",31,26,28,25
