"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"01/01/2017 00:05:00","CAPITL",61757,48.02,-0.09,-49.52
"01/01/2017 00:05:00","CENTRL",61754,3.65,-0.01,-5.07
"01/01/2017 00:05:00","DUNWOD",61760,32.67,-0.13,-34.21
"01/01/2017 00:05:00","GENESE",61753,2.55,0.05,-3.92
"01/01/2017 00:05:00","H Q",61844,-1.37,0.04,0.00
"01/01/2017 00:05:00","HUD VL",61758,32.91,-0.12,-34.44
"01/01/2017 00:05:00","LONGIL",61762,32.63,-0.17,-34.21
"01/01/2017 00:05:00","MHK VL",61756,4.09,-0.05,-5.54
"01/01/2017 00:05:00","MILLWD",61759,33.33,-0.13,-34.87
"01/01/2017 00:05:00","N.Y.C.",61761,32.66,-0.13,-34.20
"01/01/2017 00:05:00","NORTH",61755,-1.35,0.06,0.00
"01/01/2017 00:05:00","NPX",61845,41.53,-0.10,-43.05
"01/01/2017 00:05:00","O H",61846,4.09,0.10,-5.41
"01/01/2017 00:05:00","PJM",61847,17.37,-0.04,-18.82
"01/01/2017 00:05:00","WEST",61752,3.76,0.09,-5.08
"01/01/2017 00:10:00","CAPITL",61757,43.72,0.06,-42.68
"01/01/2017 00:10:00","CENTRL",61754,5.36,0.01,-4.37
"01/01/2017 00:10:00","DUNWOD",61760,30.55,0.09,-29.48
"01/01/2017 00:10:00","GENESE",61753,4.32,-0.04,-3.37
"01/01/2017 00:10:00","H Q",61844,0.95,-0.03,0.00
"01/01/2017 00:10:00","HUD VL",61758,30.75,0.09,-29.68
"01/01/2017 00:10:00","LONGIL",61762,30.59,0.12,-29.49
"01/01/2017 00:10:00","MHK VL",61756,5.79,0.03,-4.78
"01/01/2017 00:10:00","MILLWD",61759,31.12,0.09,-30.05
"01/01/2017 00:10:00","N.Y.C.",61761,30.54,0.09,-29.47
"01/01/2017 00:10:00","NORTH",61755,0.94,-0.04,0.00
"01/01/2017 00:10:00","NPX",61845,38.15,0.07,-37.10
"01/01/2017 00:10:00","O H",61846,5.57,-0.07,-4.66
"01/01/2017 00:10:00","PJM",61847,17.23,0.03,-16.22
"01/01/2017 00:10:00","WEST",61752,5.30,-0.06,-4.38
"01/01/2017 00:15:00","CAPITL",61757,62.44,-1.59,-88.91
"01/01/2017 00:15:00","CENTRL",61754,-15.92,-0.15,-9.11
"01/01/2017 00:15:00","DUNWOD",61760,34.32,-2.21,-61.41
"01/01/2017 00:15:00","GENESE",61753,-17.00,0.85,-7.03
"01/01/2017 00:15:00","H Q",61844,-24.18,0.70,0.00
"01/01/2017 00:15:00","HUD VL",61758,34.80,-2.16,-61.84
"01/01/2017 00:15:00","LONGIL",61762,33.55,-2.98,-61.41
"01/01/2017 00:15:00","MHK VL",61756,-15.60,-0.82,-10.09
"01/01/2017 00:15:00","MILLWD",61759,35.47,-2.24,-62.59
"01/01/2017 00:15:00","N.Y.C.",61761,34.23,-2.29,-61.39
"01/01/2017 00:15:00","NORTH",61755,-23.93,0.95,0.00
"01/01/2017 00:15:00","NPX",61845,50.61,-1.79,-77.28
"01/01/2017 00:15:00","O H",61846,-13.48,1.69,-9.71
"01/01/2017 00:15:00","PJM",61847,8.34,-0.57,-33.79
"01/01/2017 00:15:00","WEST",61752,-14.26,1.49,-9.13
"01/01/2017 00:20:00","CAPITL",61757,48.17,-0.21,-51.64
"01/01/2017 00:20:00","CENTRL",61754,2.00,-0.02,-5.29
"01/01/2017 00:20:00","DUNWOD",61760,32.12,-0.29,-35.67
"01/01/2017 00:20:00","GENESE",61753,0.93,0.10,-4.08
"01/01/2017 00:20:00","H Q",61844,-3.17,0.09,0.00
"01/01/2017 00:20:00","HUD VL",61758,32.37,-0.28,-35.91
"01/01/2017 00:20:00","LONGIL",61762,32.02,-0.38,-35.67
"01/01/2017 00:20:00","MHK VL",61756,2.49,-0.11,-5.86
"01/01/2017 00:20:00","MILLWD",61759,32.79,-0.29,-36.35
"01/01/2017 00:20:00","N.Y.C.",61761,32.10,-0.30,-35.66
"01/01/2017 00:20:00","NORTH",61755,-3.14,0.12,0.00
"01/01/2017 00:20:00","NPX",61845,41.38,-0.24,-44.88
"01/01/2017 00:20:00","O H",61846,2.58,0.21,-5.64
"01/01/2017 00:20:00","PJM",61847,16.27,-0.09,-19.62
"01/01/2017 00:20:00","WEST",61752,2.22,0.18,-5.30
"01/01/2017 00:25:00","CAPITL",61757,48.16,-0.21,-51.61
"01/01/2017 00:25:00","CENTRL",61754,2.02,-0.02,-5.29
"01/01/2017 00:25:00","DUNWOD",61760,32.12,-0.29,-35.65
