"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"01/25/2017","01/22/2017","Actual","ALB",43,37,41,36
"01/25/2017","01/22/2017","Actual","ART",41,34,41,33
"01/25/2017","01/22/2017","Actual","BGM",56,36,51,36
"01/25/2017","01/22/2017","Actual","BUF",47,37,46,36
"01/25/2017","01/22/2017","Actual","ELM",58,39,52,38
"01/25/2017","01/22/2017","Actual","HPN",51,42,48,42
"01/25/2017","01/22/2017","Actual","ISP",54,42,50,42
"01/25/2017","01/22/2017","Actual","JFK",53,43,51,43
"01/25/2017","01/22/2017","Actual","LGA",49,43,46,42
"01/25/2017","01/22/2017","Actual","MSS",36,32,36,30
"01/25/2017","01/22/2017","Actual","MSV",55,36,52,35
"01/25/2017","01/22/2017","Actual","PLB",36,32,36,32
"01/25/2017","01/22/2017","Actual","POU",51,39,47,39
"01/25/2017","01/22/2017","Actual","ROC",45,37,44,37
"01/25/2017","01/22/2017","Actual","SWF",50,37,48,37
"01/25/2017","01/22/2017","Actual","SYR",50,33,47,33
"01/25/2017","01/22/2017","Actual","UCA",47,38,45,38
"01/25/2017","01/23/2017","Actual","ALB",39,32,36,30
"01/25/2017","01/23/2017","Actual","ART",39,32,37,31
"01/25/2017","01/23/2017","Actual","BGM",44,30,43,28
"01/25/2017","01/23/2017","Actual","BUF",45,34,42,31
"01/25/2017","01/23/2017","Actual","ELM",49,34,45,32
"01/25/2017","01/23/2017","Actual","HPN",44,35,42,34
"01/25/2017","01/23/2017","Actual","ISP",43,37,42,36
"01/25/2017","01/23/2017","Actual","JFK",47,38,45,36
"01/25/2017","01/23/2017","Actual","LGA",45,38,43,36
"01/25/2017","01/23/2017","Actual","MSS",32,28,30,26
"01/25/2017","01/23/2017","Actual","MSV",37,30,37,28
"01/25/2017","01/23/2017","Actual","PLB",37,31,34,29
"01/25/2017","01/23/2017","Actual","POU",41,33,38,32
"01/25/2017","01/23/2017","Actual","ROC",44,35,41,32
"01/25/2017","01/23/2017","Actual","SWF",41,34,40,33
"01/25/2017","01/23/2017","Actual","SYR",42,31,41,30
"01/25/2017","01/23/2017","Actual","UCA",39,31,38,30
"01/25/2017","01/24/2017","Actual","ALB",35,32,34,30
"01/25/2017","01/24/2017","Actual","ART",31,26,30,26
"01/25/2017","01/24/2017","Actual","BGM",32,26,31,25
"01/25/2017","01/24/2017","Actual","BUF",34,31,32,30
"01/25/2017","01/24/2017","Actual","ELM",35,32,33,30
"01/25/2017","01/24/2017","Actual","HPN",37,36,36,34
"01/25/2017","01/24/2017","Actual","ISP",40,37,40,36
"01/25/2017","01/24/2017","Actual","JFK",40,38,39,37
"01/25/2017","01/24/2017","Actual","LGA",41,38,38,36
"01/25/2017","01/24/2017","Actual","MSS",29,27,27,25
"01/25/2017","01/24/2017","Actual","MSV",34,30,33,29
"01/25/2017","01/24/2017","Actual","PLB",31,26,28,25
"01/25/2017","01/24/2017","Actual","POU",35,32,34,31
"01/25/2017","01/24/2017","Actual","ROC",36,30,33,30
"01/25/2017","01/24/2017","Actual","SWF",36,32,36,32
"01/25/2017","01/24/2017","Actual","SYR",32,29,32,28
"01/25/2017","01/24/2017","Actual","UCA",35,28,35,27
"01/25/2017","01/25/2017","Forecast","ALB",37,31,34,28
"01/25/2017","01/25/2017","Forecast","ART",35,26,33,25
"01/25/2017","01/25/2017","Forecast","BGM",35,26,33,26
"01/25/2017","01/25/2017","Forecast","BUF",40,33,39,30
"01/25/2017","01/25/2017","Forecast","ELM",42,34,38,31
"01/25/2017","01/25/2017","Forecast","HPN",44,34,39,31
"01/25/2017","01/25/2017","Forecast","ISP",45,35,40,32
"01/25/2017","01/25/2017","Forecast","JFK",47,37,41,33
"01/25/2017","01/25/2017","Forecast","LGA",47,39,41,35
"01/25/2017","01/25/2017","Forecast","MSS",34,27,32,26
"01/25/2017","01/25/2017","Forecast","MSV",37,28,34,27
"01/25/2017","01/25/2017","Forecast","PLB",36,26,32,25
"01/25/2017","01/25/2017","Forecast","POU",42,32,38,30
"01/25/2017","01/25/2017","Forecast","ROC",40,32,37,31
"01/25/2017","01/25/2017","Forecast","SWF",42,33,38,30
"01/25/2017","01/25/2017","Forecast","SYR",36,28,34,28
"01/25/2017","01/25/2017","Forecast","UCA",33,27,32,26
"01/25/2017","01/26/2017","Forecast","ALB",43,33,40,31
"01/25/2017","01/26/2017","Forecast","ART",37,31,36,30
"01/25/2017","01/26/2017","Forecast","BGM",38,31,37,29
"01/25/2017","01/26/2017","Forecast","BUF",41,33,40,31
"01/25/2017","01/26/2017","Forecast","ELM",41,33,38,30
"01/25/2017","01/26/2017","Forecast","HPN",48,39,45,35
"01/25/2017","01/26/2017","Forecast","ISP",49,39,46,36
"01/25/2017","01/26/2017","Forecast","JFK",51,41,47,37
"01/25/2017","01/26/2017","Forecast","LGA",51,43,47,38
"01/25/2017","01/26/2017","Forecast","MSS",36,29,35,28
"01/25/2017","01/26/2017","Forecast","MSV",42,32,40,30
"01/25/2017","01/26/2017","Forecast","PLB",42,32,39,29
"01/25/2017","01/26/2017","Forecast","POU",47,35,44,34
"01/25/2017","01/26/2017","Forecast","ROC",40,33,39,31
"01/25/2017","01/26/2017","Forecast","SWF",48,36,44,34
"01/25/2017","01/26/2017","Forecast","SYR",40,32,38,31
"01/25/2017","01/26/2017","Forecast","UCA",37,31,37,30
