"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"01/24/2017 00:05:00","CAPITL",61757,30.36,1.69,0.00
"01/24/2017 00:05:00","CENTRL",61754,28.72,0.06,0.00
"01/24/2017 00:05:00","DUNWOD",61760,30.82,2.15,0.00
"01/24/2017 00:05:00","GENESE",61753,27.69,-0.97,0.00
"01/24/2017 00:05:00","H Q",61844,28.01,-0.66,0.00
"01/24/2017 00:05:00","HUD VL",61758,30.84,2.18,0.00
"01/24/2017 00:05:00","LONGIL",61762,31.39,2.72,0.00
"01/24/2017 00:05:00","MHK VL",61756,29.47,0.80,0.00
"01/24/2017 00:05:00","MILLWD",61759,30.90,2.24,0.00
"01/24/2017 00:05:00","N.Y.C.",61761,30.99,2.32,0.00
"01/24/2017 00:05:00","NORTH",61755,28.24,-0.43,0.00
"01/24/2017 00:05:00","NPX",61845,30.38,1.72,0.00
"01/24/2017 00:05:00","O H",61846,26.63,-2.03,0.00
"01/24/2017 00:05:00","PJM",61847,28.78,0.12,0.00
"01/24/2017 00:05:00","WEST",61752,27.00,-1.66,0.00
"01/24/2017 00:10:00","CAPITL",61757,30.22,1.71,0.00
"01/24/2017 00:10:00","CENTRL",61754,28.62,0.11,0.00
"01/24/2017 00:10:00","DUNWOD",61760,30.65,2.14,0.00
"01/24/2017 00:10:00","GENESE",61753,27.60,-0.91,0.00
"01/24/2017 00:10:00","H Q",61844,27.82,-0.68,0.00
"01/24/2017 00:10:00","HUD VL",61758,30.67,2.17,0.00
"01/24/2017 00:10:00","LONGIL",61762,31.13,2.62,0.00
"01/24/2017 00:10:00","MHK VL",61756,29.34,0.83,0.00
"01/24/2017 00:10:00","MILLWD",61759,30.70,2.20,0.00
"01/24/2017 00:10:00","N.Y.C.",61761,30.85,2.34,0.00
"01/24/2017 00:10:00","NORTH",61755,28.08,-0.43,0.00
"01/24/2017 00:10:00","NPX",61845,30.22,1.71,0.00
"01/24/2017 00:10:00","O H",61846,26.60,-1.91,0.00
"01/24/2017 00:10:00","PJM",61847,28.71,0.20,0.00
"01/24/2017 00:10:00","WEST",61752,26.97,-1.54,0.00
"01/24/2017 00:15:00","CAPITL",61757,30.60,1.84,0.00
"01/24/2017 00:15:00","CENTRL",61754,28.76,0.00,0.00
"01/24/2017 00:15:00","DUNWOD",61760,30.92,2.16,0.00
"01/24/2017 00:15:00","GENESE",61753,27.70,-1.06,0.00
"01/24/2017 00:15:00","H Q",61844,28.10,-0.66,0.00
