"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"01/01/2017","12/29/2016","Actual","ALB",33,25,32,24
"01/01/2017","12/29/2016","Actual","ART",35,29,35,27
"01/01/2017","12/29/2016","Actual","BGM",33,23,31,21
"01/01/2017","12/29/2016","Actual","BUF",36,30,34,28
"01/01/2017","12/29/2016","Actual","ELM",39,28,35,25
"01/01/2017","12/29/2016","Actual","HPN",42,25,42,23
"01/01/2017","12/29/2016","Actual","ISP",46,24,46,23
"01/01/2017","12/29/2016","Actual","JFK",47,29,45,27
"01/01/2017","12/29/2016","Actual","LGA",47,34,46,29
"01/01/2017","12/29/2016","Actual","MSS",34,22,33,20
"01/01/2017","12/29/2016","Actual","MSV",32,21,32,20
"01/01/2017","12/29/2016","Actual","PLB",31,20,30,19
"01/01/2017","12/29/2016","Actual","POU",34,22,34,21
"01/01/2017","12/29/2016","Actual","ROC",38,31,35,28
"01/01/2017","12/29/2016","Actual","SWF",36,23,36,22
"01/01/2017","12/29/2016","Actual","SYR",37,28,35,25
"01/01/2017","12/29/2016","Actual","UCA",33,25,32,24
"01/01/2017","12/30/2016","Actual","ALB",34,25,31,22
"01/01/2017","12/30/2016","Actual","ART",33,21,32,19
"01/01/2017","12/30/2016","Actual","BGM",28,23,26,21
"01/01/2017","12/30/2016","Actual","BUF",31,27,29,24
"01/01/2017","12/30/2016","Actual","ELM",33,27,30,24
"01/01/2017","12/30/2016","Actual","HPN",40,31,33,28
"01/01/2017","12/30/2016","Actual","ISP",42,32,35,29
"01/01/2017","12/30/2016","Actual","JFK",42,36,35,29
"01/01/2017","12/30/2016","Actual","LGA",42,36,35,30
"01/01/2017","12/30/2016","Actual","MSS",34,15,32,13
"01/01/2017","12/30/2016","Actual","MSV",30,25,28,22
"01/01/2017","12/30/2016","Actual","PLB",31,14,28,12
"01/01/2017","12/30/2016","Actual","POU",38,30,32,27
"01/01/2017","12/30/2016","Actual","ROC",33,28,31,25
"01/01/2017","12/30/2016","Actual","SWF",36,28,32,27
"01/01/2017","12/30/2016","Actual","SYR",32,26,30,25
"01/01/2017","12/30/2016","Actual","UCA",31,22,31,22
"01/01/2017","12/31/2016","Actual","ALB",37,20,33,18
"01/01/2017","12/31/2016","Actual","ART",40,16,34,15
"01/01/2017","12/31/2016","Actual","BGM",34,22,32,20
"01/01/2017","12/31/2016","Actual","BUF",39,28,36,24
"01/01/2017","12/31/2016","Actual","ELM",40,25,35,23
"01/01/2017","12/31/2016","Actual","HPN",42,29,35,25
"01/01/2017","12/31/2016","Actual","ISP",45,27,40,24
"01/01/2017","12/31/2016","Actual","JFK",45,33,38,27
"01/01/2017","12/31/2016","Actual","LGA",45,34,37,28
"01/01/2017","12/31/2016","Actual","MSS",34,1,32,0
"01/01/2017","12/31/2016","Actual","MSV",34,21,31,20
"01/01/2017","12/31/2016","Actual","PLB",31,9,29,8
"01/01/2017","12/31/2016","Actual","POU",41,27,34,24
"01/01/2017","12/31/2016","Actual","ROC",42,28,36,24
"01/01/2017","12/31/2016","Actual","SWF",39,25,34,23
"01/01/2017","12/31/2016","Actual","SYR",39,16,34,15
"01/01/2017","12/31/2016","Actual","UCA",36,16,33,15
"01/01/2017","01/01/2017","Forecast","ALB",37,26,33,24
"01/01/2017","01/01/2017","Forecast","ART",36,28,35,27
"01/01/2017","01/01/2017","Forecast","BGM",35,24,33,22
"01/01/2017","01/01/2017","Forecast","BUF",36,28,32,26
"01/01/2017","01/01/2017","Forecast","ELM",39,27,36,25
"01/01/2017","01/01/2017","Forecast","HPN",43,33,36,29
"01/01/2017","01/01/2017","Forecast","ISP",46,34,38,31
"01/01/2017","01/01/2017","Forecast","JFK",46,38,38,34
"01/01/2017","01/01/2017","Forecast","LGA",47,39,38,34
"01/01/2017","01/01/2017","Forecast","MSS",36,24,34,23
"01/01/2017","01/01/2017","Forecast","MSV",36,23,33,21
"01/01/2017","01/01/2017","Forecast","PLB",33,25,31,23
"01/01/2017","01/01/2017","Forecast","POU",41,27,34,25
"01/01/2017","01/01/2017","Forecast","ROC",37,29,34,27
"01/01/2017","01/01/2017","Forecast","SWF",41,28,35,26
"01/01/2017","01/01/2017","Forecast","SYR",38,25,35,23
"01/01/2017","01/01/2017","Forecast","UCA",36,20,35,19
"01/01/2017","01/02/2017","Forecast","ALB",36,22,32,20
"01/01/2017","01/02/2017","Forecast","ART",38,24,34,22
"01/01/2017","01/02/2017","Forecast","BGM",34,23,33,21
"01/01/2017","01/02/2017","Forecast","BUF",41,27,39,25
"01/01/2017","01/02/2017","Forecast","ELM",38,24,36,22
"01/01/2017","01/02/2017","Forecast","HPN",40,31,39,28
"01/01/2017","01/02/2017","Forecast","ISP",44,32,41,30
"01/01/2017","01/02/2017","Forecast","JFK",45,37,43,33
"01/01/2017","01/02/2017","Forecast","LGA",46,38,43,33
"01/01/2017","01/02/2017","Forecast","MSS",32,22,30,21
"01/01/2017","01/02/2017","Forecast","MSV",33,21,32,19
"01/01/2017","01/02/2017","Forecast","PLB",35,22,32,21
"01/01/2017","01/02/2017","Forecast","POU",37,24,34,23
"01/01/2017","01/02/2017","Forecast","ROC",40,26,38,24
"01/01/2017","01/02/2017","Forecast","SWF",36,26,35,24
"01/01/2017","01/02/2017","Forecast","SYR",36,22,35,21
"01/01/2017","01/02/2017","Forecast","UCA",33,18,32,17
