"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"01/23/2017 00:05:00","CAPITL",61757,21.62,1.20,0.00
"01/23/2017 00:05:00","CENTRL",61754,20.45,0.04,0.00
"01/23/2017 00:05:00","DUNWOD",61760,21.82,1.41,0.00
"01/23/2017 00:05:00","GENESE",61753,19.68,-0.73,0.00
"01/23/2017 00:05:00","H Q",61844,19.98,-0.43,0.00
"01/23/2017 00:05:00","HUD VL",61758,21.84,1.43,0.00
"01/23/2017 00:05:00","LONGIL",61762,22.37,1.96,0.00
"01/23/2017 00:05:00","MHK VL",61756,20.86,0.45,0.00
"01/23/2017 00:05:00","MILLWD",61759,21.84,1.43,0.00
"01/23/2017 00:05:00","N.Y.C.",61761,21.96,1.55,0.00
"01/23/2017 00:05:00","NORTH",61755,20.19,-0.22,0.00
"01/23/2017 00:05:00","NPX",61845,19.81,1.14,1.75
"01/23/2017 00:05:00","O H",61846,18.96,-1.45,0.00
"01/23/2017 00:05:00","PJM",61847,20.54,0.12,0.00
"01/23/2017 00:05:00","WEST",61752,19.13,-1.29,0.00
"01/23/2017 00:10:00","CAPITL",61757,19.74,1.07,-0.90
"01/23/2017 00:10:00","CENTRL",61754,17.89,0.00,-0.11
"01/23/2017 00:10:00","DUNWOD",61760,19.63,1.19,-0.67
"01/23/2017 00:10:00","GENESE",61753,17.15,-0.71,-0.09
"01/23/2017 00:10:00","H Q",61844,17.42,-0.36,0.00
"01/23/2017 00:10:00","HUD VL",61758,19.67,1.23,-0.67
"01/23/2017 00:10:00","LONGIL",61762,20.10,1.65,-0.67
"01/23/2017 00:10:00","MHK VL",61756,18.26,0.37,-0.11
"01/23/2017 00:10:00","MILLWD",61759,19.66,1.21,-0.67
"01/23/2017 00:10:00","N.Y.C.",61761,19.76,1.32,-0.67
"01/23/2017 00:10:00","NORTH",61755,17.60,-0.18,0.00
"01/23/2017 00:10:00","NPX",61845,17.84,1.01,0.95
"01/23/2017 00:10:00","O H",61846,16.54,-1.35,-0.12
"01/23/2017 00:10:00","PJM",61847,18.19,0.04,-0.38
"01/23/2017 00:10:00","WEST",61752,16.68,-1.21,-0.12
"01/23/2017 00:15:00","CAPITL",61757,38.84,0.39,-32.13
"01/23/2017 00:15:00","CENTRL",61754,10.28,0.00,-3.96
"01/23/2017 00:15:00","DUNWOD",61760,30.55,0.42,-23.81
"01/23/2017 00:15:00","GENESE",61753,9.33,-0.23,-3.24
"01/23/2017 00:15:00","H Q",61844,6.19,-0.13,0.00
"01/23/2017 00:15:00","HUD VL",61758,30.55,0.44,-23.79
"01/23/2017 00:15:00","LONGIL",61762,30.70,0.57,-23.81
"01/23/2017 00:15:00","MHK VL",61756,10.65,0.14,-4.19
"01/23/2017 00:15:00","MILLWD",61759,30.79,0.43,-24.03
"01/23/2017 00:15:00","N.Y.C.",61761,30.59,0.46,-23.80
"01/23/2017 00:15:00","NORTH",61755,6.25,-0.08,0.00
"01/23/2017 00:15:00","NPX",61845,33.61,0.37,-26.92
"01/23/2017 00:15:00","O H",61846,10.12,-0.46,-4.26
"01/23/2017 00:15:00","PJM",61847,19.74,0.01,-13.41
"01/23/2017 00:15:00","WEST",61752,10.03,-0.40,-4.11
"01/23/2017 00:20:00","CAPITL",61757,43.01,0.03,-42.49
"01/23/2017 00:20:00","CENTRL",61754,5.73,0.00,-5.24
"01/23/2017 00:20:00","DUNWOD",61760,32.00,0.03,-31.48
"01/23/2017 00:20:00","GENESE",61753,4.76,-0.02,-4.28
"01/23/2017 00:20:00","H Q",61844,0.48,-0.01,0.00
"01/23/2017 00:20:00","HUD VL",61758,31.98,0.03,-31.45
"01/23/2017 00:20:00","LONGIL",61762,32.01,0.04,-31.48
"01/23/2017 00:20:00","MHK VL",61756,6.05,0.01,-5.54
"01/23/2017 00:20:00","MILLWD",61759,32.30,0.03,-31.78
"01/23/2017 00:20:00","N.Y.C.",61761,32.00,0.03,-31.47
"01/23/2017 00:20:00","NORTH",61755,0.49,-0.01,0.00
"01/23/2017 00:20:00","NPX",61845,38.43,0.03,-37.90
"01/23/2017 00:20:00","O H",61846,6.09,-0.03,-5.63
"01/23/2017 00:20:00","PJM",61847,18.22,0.00,-17.73
"01/23/2017 00:20:00","WEST",61752,5.90,-0.03,-5.43
"01/23/2017 00:25:00","CAPITL",61757,45.29,-0.15,-47.85
"01/23/2017 00:25:00","CENTRL",61754,3.49,0.00,-5.90
"01/23/2017 00:25:00","DUNWOD",61760,32.88,-0.16,-35.45
"01/23/2017 00:25:00","GENESE",61753,2.49,0.08,-4.82
"01/23/2017 00:25:00","H Q",61844,-2.36,0.05,0.00
"01/23/2017 00:25:00","HUD VL",61758,32.85,-0.16,-35.42
"01/23/2017 00:25:00","LONGIL",61762,32.83,-0.21,-35.45
"01/23/2017 00:25:00","MHK VL",61756,3.78,-0.05,-6.24
"01/23/2017 00:25:00","MILLWD",61759,33.22,-0.16,-35.79
"01/23/2017 00:25:00","N.Y.C.",61761,32.86,-0.17,-35.44
"01/23/2017 00:25:00","NORTH",61755,-2.38,0.03,0.00
"01/23/2017 00:25:00","NPX",61845,40.13,-0.14,-42.69
"01/23/2017 00:25:00","O H",61846,4.09,0.16,-6.34
"01/23/2017 00:25:00","PJM",61847,17.55,-0.01,-19.96
"01/23/2017 00:25:00","WEST",61752,3.84,0.13,-6.12
"01/23/2017 00:30:00","CAPITL",61757,68.52,-0.21,-72.21
"01/23/2017 00:30:00","CENTRL",61754,5.42,0.00,-8.90
"01/23/2017 00:30:00","DUNWOD",61760,49.79,-0.23,-53.50
"01/23/2017 00:30:00","GENESE",61753,3.92,0.13,-7.28
"01/23/2017 00:30:00","H Q",61844,-3.40,0.07,0.00
"01/23/2017 00:30:00","HUD VL",61758,49.74,-0.24,-53.46
"01/23/2017 00:30:00","LONGIL",61762,49.72,-0.30,-53.50
