"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"01/15/2017","01/12/2017","Actual","ALB",53,44,51,42
"01/15/2017","01/12/2017","Actual","ART",53,35,52,34
"01/15/2017","01/12/2017","Actual","BGM",50,39,49,39
"01/15/2017","01/12/2017","Actual","BUF",57,34,54,32
"01/15/2017","01/12/2017","Actual","ELM",54,43,51,42
"01/15/2017","01/12/2017","Actual","HPN",63,43,56,43
"01/15/2017","01/12/2017","Actual","ISP",54,47,51,47
"01/15/2017","01/12/2017","Actual","JFK",59,46,53,44
"01/15/2017","01/12/2017","Actual","LGA",67,47,57,45
"01/15/2017","01/12/2017","Actual","MSS",50,33,49,32
"01/15/2017","01/12/2017","Actual","MSV",52,39,52,38
"01/15/2017","01/12/2017","Actual","PLB",43,37,42,34
"01/15/2017","01/12/2017","Actual","POU",56,40,53,40
"01/15/2017","01/12/2017","Actual","ROC",56,37,54,35
"01/15/2017","01/12/2017","Actual","SWF",59,41,55,41
"01/15/2017","01/12/2017","Actual","SYR",54,36,52,36
"01/15/2017","01/12/2017","Actual","UCA",51,37,50,37
"01/15/2017","01/13/2017","Actual","ALB",44,23,41,19
"01/15/2017","01/13/2017","Actual","ART",33,13,32,11
"01/15/2017","01/13/2017","Actual","BGM",39,20,39,18
"01/15/2017","01/13/2017","Actual","BUF",33,23,31,20
"01/15/2017","01/13/2017","Actual","ELM",42,19,38,17
"01/15/2017","01/13/2017","Actual","HPN",61,30,55,25
"01/15/2017","01/13/2017","Actual","ISP",55,31,52,26
"01/15/2017","01/13/2017","Actual","JFK",57,34,53,27
"01/15/2017","01/13/2017","Actual","LGA",63,34,56,28
"01/15/2017","01/13/2017","Actual","MSS",34,10,33,8
"01/15/2017","01/13/2017","Actual","MSV",48,21,48,18
"01/15/2017","01/13/2017","Actual","PLB",38,10,36,8
"01/15/2017","01/13/2017","Actual","POU",55,26,53,22
"01/15/2017","01/13/2017","Actual","ROC",36,23,34,20
"01/15/2017","01/13/2017","Actual","SWF",57,25,55,22
"01/15/2017","01/13/2017","Actual","SYR",35,22,35,19
"01/15/2017","01/13/2017","Actual","UCA",36,21,36,18
"01/15/2017","01/14/2017","Actual","ALB",26,14,21,12
"01/15/2017","01/14/2017","Actual","ART",27,7,25,6
"01/15/2017","01/14/2017","Actual","BGM",25,16,24,15
"01/15/2017","01/14/2017","Actual","BUF",29,19,25,18
"01/15/2017","01/14/2017","Actual","ELM",31,20,28,18
"01/15/2017","01/14/2017","Actual","HPN",29,23,28,19
"01/15/2017","01/14/2017","Actual","ISP",33,26,29,22
"01/15/2017","01/14/2017","Actual","JFK",34,28,31,24
"01/15/2017","01/14/2017","Actual","LGA",34,29,32,24
"01/15/2017","01/14/2017","Actual","MSS",24,3,22,2
"01/15/2017","01/14/2017","Actual","MSV",27,18,24,16
"01/15/2017","01/14/2017","Actual","PLB",19,4,17,3
"01/15/2017","01/14/2017","Actual","POU",28,20,26,18
"01/15/2017","01/14/2017","Actual","ROC",29,19,25,17
"01/15/2017","01/14/2017","Actual","SWF",28,19,27,18
"01/15/2017","01/14/2017","Actual","SYR",25,13,23,12
"01/15/2017","01/14/2017","Actual","UCA",27,13,24,12
"01/15/2017","01/15/2017","Forecast","ALB",31,17,26,15
"01/15/2017","01/15/2017","Forecast","ART",29,20,27,19
"01/15/2017","01/15/2017","Forecast","BGM",27,18,23,17
"01/15/2017","01/15/2017","Forecast","BUF",31,22,27,21
"01/15/2017","01/15/2017","Forecast","ELM",32,16,27,15
"01/15/2017","01/15/2017","Forecast","HPN",37,26,31,24
"01/15/2017","01/15/2017","Forecast","ISP",38,27,32,26
"01/15/2017","01/15/2017","Forecast","JFK",40,32,33,28
"01/15/2017","01/15/2017","Forecast","LGA",40,32,33,28
"01/15/2017","01/15/2017","Forecast","MSS",26,14,23,12
"01/15/2017","01/15/2017","Forecast","MSV",30,20,26,18
"01/15/2017","01/15/2017","Forecast","PLB",26,15,23,13
"01/15/2017","01/15/2017","Forecast","POU",35,19,29,18
"01/15/2017","01/15/2017","Forecast","ROC",31,20,27,19
"01/15/2017","01/15/2017","Forecast","SWF",36,22,30,21
"01/15/2017","01/15/2017","Forecast","SYR",29,18,25,17
"01/15/2017","01/15/2017","Forecast","UCA",27,17,23,16
"01/15/2017","01/16/2017","Forecast","ALB",38,19,31,17
"01/15/2017","01/16/2017","Forecast","ART",36,21,32,20
"01/15/2017","01/16/2017","Forecast","BGM",35,17,29,16
"01/15/2017","01/16/2017","Forecast","BUF",37,24,32,22
"01/15/2017","01/16/2017","Forecast","ELM",42,19,34,18
"01/15/2017","01/16/2017","Forecast","HPN",40,24,33,22
"01/15/2017","01/16/2017","Forecast","ISP",40,25,34,23
"01/15/2017","01/16/2017","Forecast","JFK",41,29,35,26
"01/15/2017","01/16/2017","Forecast","LGA",43,30,36,26
"01/15/2017","01/16/2017","Forecast","MSS",35,15,31,13
"01/15/2017","01/16/2017","Forecast","MSV",37,16,30,15
"01/15/2017","01/16/2017","Forecast","PLB",38,15,32,13
"01/15/2017","01/16/2017","Forecast","POU",40,18,33,17
"01/15/2017","01/16/2017","Forecast","ROC",41,23,33,21
"01/15/2017","01/16/2017","Forecast","SWF",40,20,33,18
"01/15/2017","01/16/2017","Forecast","SYR",38,20,32,19
"01/15/2017","01/16/2017","Forecast","UCA",35,16,29,15
