"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"01/05/2017","01/02/2017","Actual","ALB",35,19,32,18
"01/05/2017","01/02/2017","Actual","ART",45,19,37,19
"01/05/2017","01/02/2017","Actual","BGM",34,24,32,22
"01/05/2017","01/02/2017","Actual","BUF",41,28,38,25
"01/05/2017","01/02/2017","Actual","ELM",39,21,36,20
"01/05/2017","01/02/2017","Actual","HPN",38,33,36,28
"01/05/2017","01/02/2017","Actual","ISP",42,31,40,28
"01/05/2017","01/02/2017","Actual","JFK",43,34,40,29
"01/05/2017","01/02/2017","Actual","LGA",41,38,40,33
"01/05/2017","01/02/2017","Actual","MSS",37,11,32,10
"01/05/2017","01/02/2017","Actual","MSV",34,23,31,21
"01/05/2017","01/02/2017","Actual","PLB",38,21,33,19
"01/05/2017","01/02/2017","Actual","POU",38,21,34,20
"01/05/2017","01/02/2017","Actual","ROC",40,22,37,21
"01/05/2017","01/02/2017","Actual","SWF",37,23,35,22
"01/05/2017","01/02/2017","Actual","SYR",34,19,31,18
"01/05/2017","01/02/2017","Actual","UCA",33,18,30,17
"01/05/2017","01/03/2017","Actual","ALB",37,31,36,30
"01/05/2017","01/03/2017","Actual","ART",41,34,40,34
"01/05/2017","01/03/2017","Actual","BGM",35,32,35,31
"01/05/2017","01/03/2017","Actual","BUF",43,40,42,38
"01/05/2017","01/03/2017","Actual","ELM",41,37,39,35
"01/05/2017","01/03/2017","Actual","HPN",43,37,42,36
"01/05/2017","01/03/2017","Actual","ISP",45,40,45,40
"01/05/2017","01/03/2017","Actual","JFK",46,41,44,39
"01/05/2017","01/03/2017","Actual","LGA",46,40,44,39
"01/05/2017","01/03/2017","Actual","MSS",35,27,34,25
"01/05/2017","01/03/2017","Actual","MSV",36,30,36,30
"01/05/2017","01/03/2017","Actual","PLB",39,30,36,28
"01/05/2017","01/03/2017","Actual","POU",38,33,38,32
"01/05/2017","01/03/2017","Actual","ROC",43,39,41,37
"01/05/2017","01/03/2017","Actual","SWF",39,34,39,34
"01/05/2017","01/03/2017","Actual","SYR",37,34,36,31
"01/05/2017","01/03/2017","Actual","UCA",36,32,35,30
"01/05/2017","01/04/2017","Actual","ALB",44,25,40,22
"01/05/2017","01/04/2017","Actual","ART",39,23,39,20
"01/05/2017","01/04/2017","Actual","BGM",37,21,37,17
"01/05/2017","01/04/2017","Actual","BUF",40,19,40,15
"01/05/2017","01/04/2017","Actual","ELM",43,25,40,20
"01/05/2017","01/04/2017","Actual","HPN",50,34,45,27
"01/05/2017","01/04/2017","Actual","ISP",52,36,46,28
"01/05/2017","01/04/2017","Actual","JFK",55,37,46,28
"01/05/2017","01/04/2017","Actual","LGA",54,37,46,29
"01/05/2017","01/04/2017","Actual","MSS",39,24,35,20
"01/05/2017","01/04/2017","Actual","MSV",39,25,38,21
"01/05/2017","01/04/2017","Actual","PLB",40,24,38,21
"01/05/2017","01/04/2017","Actual","POU",46,31,43,25
"01/05/2017","01/04/2017","Actual","ROC",42,20,41,16
"01/05/2017","01/04/2017","Actual","SWF",45,36,43,31
"01/05/2017","01/04/2017","Actual","SYR",40,22,40,19
"01/05/2017","01/04/2017","Actual","UCA",38,22,38,20
"01/05/2017","01/05/2017","Forecast","ALB",28,21,23,18
"01/05/2017","01/05/2017","Forecast","ART",25,21,23,19
"01/05/2017","01/05/2017","Forecast","BGM",22,17,19,15
"01/05/2017","01/05/2017","Forecast","BUF",22,17,19,14
"01/05/2017","01/05/2017","Forecast","ELM",28,21,23,18
"01/05/2017","01/05/2017","Forecast","HPN",32,27,26,22
"01/05/2017","01/05/2017","Forecast","ISP",34,28,27,23
"01/05/2017","01/05/2017","Forecast","JFK",35,29,29,23
"01/05/2017","01/05/2017","Forecast","LGA",36,30,29,24
"01/05/2017","01/05/2017","Forecast","MSS",24,16,20,15
"01/05/2017","01/05/2017","Forecast","MSV",25,19,21,16
"01/05/2017","01/05/2017","Forecast","PLB",26,21,22,17
"01/05/2017","01/05/2017","Forecast","POU",31,24,25,20
"01/05/2017","01/05/2017","Forecast","ROC",25,20,21,16
"01/05/2017","01/05/2017","Forecast","SWF",33,24,28,20
"01/05/2017","01/05/2017","Forecast","SYR",25,20,22,16
"01/05/2017","01/05/2017","Forecast","UCA",24,19,20,16
"01/05/2017","01/06/2017","Forecast","ALB",26,18,22,16
"01/05/2017","01/06/2017","Forecast","ART",23,17,20,15
"01/05/2017","01/06/2017","Forecast","BGM",19,13,17,11
"01/05/2017","01/06/2017","Forecast","BUF",19,14,16,12
"01/05/2017","01/06/2017","Forecast","ELM",24,14,19,12
"01/05/2017","01/06/2017","Forecast","HPN",32,24,27,20
"01/05/2017","01/06/2017","Forecast","ISP",34,25,30,22
"01/05/2017","01/06/2017","Forecast","JFK",35,28,30,24
"01/05/2017","01/06/2017","Forecast","LGA",35,29,30,24
"01/05/2017","01/06/2017","Forecast","MSS",18,7,16,7
"01/05/2017","01/06/2017","Forecast","MSV",23,14,19,12
"01/05/2017","01/06/2017","Forecast","PLB",24,13,20,12
"01/05/2017","01/06/2017","Forecast","POU",30,19,25,16
"01/05/2017","01/06/2017","Forecast","ROC",21,15,17,13
"01/05/2017","01/06/2017","Forecast","SWF",30,20,25,17
"01/05/2017","01/06/2017","Forecast","SYR",21,15,19,13
"01/05/2017","01/06/2017","Forecast","UCA",20,11,18,10
