"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"01/08/2017 00:05:00","CAPITL",61757,92.68,-0.09,-94.05
"01/08/2017 00:05:00","CENTRL",61754,8.39,0.01,-9.65
"01/08/2017 00:05:00","DUNWOD",61760,63.53,-0.11,-64.91
"01/08/2017 00:05:00","GENESE",61753,6.30,0.05,-7.53
"01/08/2017 00:05:00","H Q",61844,-1.25,0.03,0.00
"01/08/2017 00:05:00","HUD VL",61758,63.70,-0.11,-65.09
"01/08/2017 00:05:00","LONGIL",61762,63.48,-0.16,-64.91
"01/08/2017 00:05:00","MHK VL",61756,9.20,-0.04,-10.51
"01/08/2017 00:05:00","MILLWD",61759,64.81,-0.12,-66.20
"01/08/2017 00:05:00","N.Y.C.",61761,63.50,-0.12,-64.89
"01/08/2017 00:05:00","NORTH",61755,-1.26,0.01,0.00
"01/08/2017 00:05:00","NPX",61845,80.35,-0.09,-81.72
"01/08/2017 00:05:00","O H",61846,9.16,0.11,-10.32
"01/08/2017 00:05:00","PJM",61847,34.46,0.01,-35.72
"01/08/2017 00:05:00","WEST",61752,8.52,0.09,-9.71
"01/08/2017 00:10:00","CAPITL",61757,92.68,-0.10,-94.04
"01/08/2017 00:10:00","CENTRL",61754,8.39,0.01,-9.65
"01/08/2017 00:10:00","DUNWOD",61760,63.53,-0.11,-64.91
"01/08/2017 00:10:00","GENESE",61753,6.30,0.05,-7.53
"01/08/2017 00:10:00","H Q",61844,-1.24,0.03,0.00
"01/08/2017 00:10:00","HUD VL",61758,63.70,-0.11,-65.08
"01/08/2017 00:10:00","LONGIL",61762,63.49,-0.15,-64.91
"01/08/2017 00:10:00","MHK VL",61756,9.20,-0.04,-10.51
"01/08/2017 00:10:00","MILLWD",61759,64.81,-0.12,-66.20
"01/08/2017 00:10:00","N.Y.C.",61761,63.50,-0.12,-64.89
"01/08/2017 00:10:00","NORTH",61755,-1.25,0.02,0.00
"01/08/2017 00:10:00","NPX",61845,80.34,-0.10,-81.71
"01/08/2017 00:10:00","O H",61846,9.16,0.11,-10.32
"01/08/2017 00:10:00","PJM",61847,34.45,0.01,-35.71
"01/08/2017 00:10:00","WEST",61752,8.52,0.08,-9.71
"01/08/2017 00:12:11","CAPITL",61757,183.03,-0.17,-185.45
"01/08/2017 00:12:11","CENTRL",61754,16.76,0.01,-19.00
"01/08/2017 00:12:11","DUNWOD",61760,125.56,-0.20,-128.01
"01/08/2017 00:12:11","GENESE",61753,12.68,0.07,-14.86
"01/08/2017 00:12:11","H Q",61844,-2.20,0.05,0.00
"01/08/2017 00:12:11","HUD VL",61758,125.95,-0.19,-128.39
"01/08/2017 00:12:11","LONGIL",61762,125.50,-0.27,-128.02
"01/08/2017 00:12:11","MHK VL",61756,18.91,-0.08,-21.24
"01/08/2017 00:12:11","MILLWD",61759,128.10,-0.20,-130.55
"01/08/2017 00:12:11","N.Y.C.",61761,125.52,-0.21,-127.98
"01/08/2017 00:12:11","NORTH",61755,-2.22,0.03,0.00
"01/08/2017 00:12:11","NPX",61845,158.73,-0.17,-161.15
"01/08/2017 00:12:11","O H",61846,18.29,0.18,-20.36
"01/08/2017 00:12:11","PJM",61847,68.20,0.01,-70.44
"01/08/2017 00:12:11","WEST",61752,17.03,0.14,-19.14
"01/08/2017 00:13:53","CAPITL",61757,309.58,-1.32,-328.46
"01/08/2017 00:13:53","CENTRL",61754,16.17,0.09,-33.65
"01/08/2017 00:13:53","DUNWOD",61760,207.66,-1.51,-226.73
"01/08/2017 00:13:53","GENESE",61753,9.35,0.60,-26.32
"01/08/2017 00:13:53","H Q",61844,-17.14,0.42,0.00
"01/08/2017 00:13:53","HUD VL",61758,208.36,-1.48,-227.40
"01/08/2017 00:13:53","LONGIL",61762,207.36,-1.81,-226.73
"01/08/2017 00:13:53","MHK VL",61756,19.44,-0.61,-37.62
"01/08/2017 00:13:53","MILLWD",61759,212.11,-1.56,-231.24
"01/08/2017 00:13:53","N.Y.C.",61761,207.49,-1.61,-226.67
"01/08/2017 00:13:53","NORTH",61755,-17.35,0.21,0.00
"01/08/2017 00:13:53","NPX",61845,266.57,-1.30,-285.43
"01/08/2017 00:13:53","O H",61846,19.95,1.46,-36.05
"01/08/2017 00:13:53","PJM",61847,107.28,0.09,-124.76
"01/08/2017 00:13:53","WEST",61752,17.47,1.12,-33.91
"01/08/2017 00:15:00","CAPITL",61757,191.04,-0.99,-205.18
"01/08/2017 00:15:00","CENTRL",61754,7.90,0.04,-21.02
"01/08/2017 00:15:00","DUNWOD",61760,127.33,-1.14,-141.63
"01/08/2017 00:15:00","GENESE",61753,3.73,0.45,-16.44
"01/08/2017 00:15:00","H Q",61844,-12.83,0.33,0.00
"01/08/2017 00:15:00","HUD VL",61758,127.78,-1.12,-142.05
"01/08/2017 00:15:00","LONGIL",61762,127.05,-1.43,-141.64
"01/08/2017 00:15:00","MHK VL",61756,9.88,-0.46,-23.50
"01/08/2017 00:15:00","MILLWD",61759,130.11,-1.18,-144.45
"01/08/2017 00:15:00","N.Y.C.",61761,127.23,-1.21,-141.59
"01/08/2017 00:15:00","NORTH",61755,-12.97,0.18,0.00
"01/08/2017 00:15:00","NPX",61845,164.17,-0.97,-178.30
"01/08/2017 00:15:00","O H",61846,10.42,1.05,-22.52
"01/08/2017 00:15:00","PJM",61847,64.78,0.00,-77.93
"01/08/2017 00:15:00","WEST",61752,8.86,0.83,-21.18
"01/08/2017 00:20:00","CAPITL",61757,191.04,-0.99,-205.18
"01/08/2017 00:20:00","CENTRL",61754,7.90,0.04,-21.02
"01/08/2017 00:20:00","DUNWOD",61760,127.33,-1.14,-141.63
"01/08/2017 00:20:00","GENESE",61753,3.73,0.45,-16.44
"01/08/2017 00:20:00","H Q",61844,-12.83,0.33,0.00
"01/08/2017 00:20:00","HUD VL",61758,127.78,-1.12,-142.05
"01/08/2017 00:20:00","LONGIL",61762,127.05,-1.43,-141.64
"01/08/2017 00:20:00","MHK VL",61756,9.88,-0.46,-23.50
"01/08/2017 00:20:00","MILLWD",61759,130.11,-1.18,-144.45
"01/08/2017 00:20:00","N.Y.C.",61761,127.23,-1.21,-141.59
"01/08/2017 00:20:00","NORTH",61755,-12.97,0.18,0.00
"01/08/2017 00:20:00","NPX",61845,164.17,-0.97,-178.30
"01/08/2017 00:20:00","O H",61846,10.42,1.05,-22.52
"01/08/2017 00:20:00","PJM",61847,64.78,0.00,-77.93
"01/08/2017 00:20:00","WEST",61752,8.86,0.83,-21.18
"01/08/2017 00:25:00","CAPITL",61757,197.98,-0.77,-209.06
"01/08/2017 00:25:00","CENTRL",61754,11.12,0.02,-21.42
"01/08/2017 00:25:00","DUNWOD",61760,133.10,-0.90,-144.31
"01/08/2017 00:25:00","GENESE",61753,6.79,0.35,-16.75
"01/08/2017 00:25:00","H Q",61844,-10.06,0.26,0.00
